,com_rating,job1,location,Salary_min($),Salary_max($),datepost,desc,lat,lng
139,3.2,Data Analyst,"New York, NY",37000,62000,24hr,"If you are a current YAI employee, please click this link to apply through your Workday account.  Data Analyst responsibilities will be to conduct full lifecycle analysis in multiple areas of our organization. Data Analyst will develop analysis and reporting capabilities while monitoring performance and quality control plans to identify improvements. Some of the immediate duties will include overseeing our Fleet Management tracking system, driver database and LENS program. Duties and Responsibilities:Interpret data, analyze results using statistical techniques and provide ongoing reports.Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.Acquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data sets.Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.Work with management to prioritize business and information needs.Locate and define new process improvement opportunities.Requirements:Proven working experience as a data analyst or business data analystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with reportingKnowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findingsBS in Mathematics, Economics, Computer Science, Information Management or StatisticsExcellent written and verbal communication skills.Strong commitment and passion for the organization’s mission.Unquestionable ethics and integrity.Strong commitment toward diversity and inclusion; values diversity of background, thought, and perspectives.Ability to Identify and respond to sensitive program and organizational issues, concerns and needs.Open minded with excellent interpersonal and active listening skills. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran. YAI is an Equal Opportunity Employer.",40.7127753,-74.0059728
140,3.8,Data Quality Analyst,"New York, NY",53000,84000,12d,"Job Description: Capital Markets Data Quality Analyst – New York, New YorkAbout the team: Capco is looking for a Senior Consultant to join our expanding Data Quality and Management practice. This person will have the ability to use their knowledge of key Capital Markets regulatory data requirements and related data governance and quality principles, as well as business analysis skills, across multiple programs with the top Financial Services firms in the industry. About the Job: As a member of the Data & IT Advisory team, you will have the opportunity to advise Capco’s clients on creating best-in-class data management organizations in order to maximize the potential of their data and meet key regulatory requirements. In this role, you will be responsible for advising clients on their data management strategies, offer expertise on best practices for data governance and data quality controls, and bring essential technical expertise in the field of data management. What You’ll Get to Do:Support and advise Capco’s clients on the creation and operationalization of their Data Management Operating ModelFacilitate root cause analysis, review, and resolution of cross line of business Data Quality Issues raised as part of business self-certification, audit, or external regulatorsSupport the sharing of best practice across client’s Data Management organizations, in terms of technical approaches, data governance and general project management and documentationWrite, develop and implement Data Quality controls and Data Governance policies and procedures as they related to key regulatory obligations (BCBS, CCAR, DFAST, BASEL, etc.)Work with Stakeholders to define, challenge and shape data projects which support the client’s global data agendaPartner with client’s data analytics teams to identify opportunities to deliver business benefits as they relate to data analytics and business intelligenceWhat You’ll Bring with You:Advance experience with writing of data quality rules / dimensions and performing logical / conceptual data mapping3 + years’ previous experience in data management, data governance, and related activities.Experience with design of data control across systems and processes, implementation of governance policies and writing of data quality rules / dimensionsGood analytical skills to leverage current and emerging data and analytical techniques to address business challenges and opportunities in an actionable way.Good interpersonal skills with highly developed capacity to constructively challenge and influence executive managementGood understanding of the Capital Markets regulatory landscape and the data requirements for relevant regulations (CCAR, DFAST, BCBS, GDPR, FRTB, BASEL, AML, KYC, etc.)Experience with the MetaData management tool ‘Collibra’ is a plusGood understanding of the global banking & trading business including products, services, processes, and risk & Finance is a plusWhy Capco? You will join a company that supports and encourages an entrepreneurial outlook and independent thinking. Capco is not about organizational charts and layers – we operate with little hierarchy because we want all employees to feel that Capco is their firm.  We offer highly competitive benefits, including medical, dental and vision insurance, a 401(k) plan, tuition reimbursement, and a work culture focused on innovation and creation of lasting value for our clients and employees. Ready to take the Next Step If this sounds like you, we would love to hear from you. This is an opportunity to make a difference and contribute to a highly successful company with a significant growth trajectory.",40.7127753,-74.0059728
141,3.6,Data Quality Analyst,"New York, NY",53000,84000,5d,"Role: Global Spread Products is seeking an experienced Data Quality Analyst. Reporting through the COO line, this person will work closely with the front office and technology on multiple fronts to help execute strategic goals. This team sits at the intersection of sales, trading, structuring, capital markets origination and technology and is responsible for implementing process improvements and realizing senior management's vision. Our team oversees a wide array of front office systems including pricing and risk, trade capture, inventory management, origination, securitization, sales dashboards, management reporting, electronic trading and database management. Background: Global Spread Products is the primary source of capital for corporations, governments, and non-profits, providing liquidity and innovative solutions globally across the credit, municipal, and securitized markets. Job Responsibilities:Become familiar with all market, reference and application data sources within Global Spread Products and across the firm. Act as a subject matter expert when data needs or questions ariseTroubleshoot root cause of data quality issues as they arise and work with technology partners to correctIdentify problems with data quality by running regular checksProvide transparency to upstream data consumers on data owners, permissions, and accessibility. Help end-users to navigate the data landscapeDevelop quality checks for ongoing data ingestion and standard calculation conventionsWork with Citi partners and vendors to define data needsTest and verify data acquisition and changesWork with technology and vendors to resolve issuesRespond to ad-hoc data requests and provide reporting as needed Required Skills and QualificationsCandidate is required to have a BA/BS3+ years experience in data analysis, data quality, or systems architecture.Ability to work in a dynamic environment under tight deadlines with changing prioritiesExperience with Oracle, KDB, Clojure, and Google Cloud is preferredSQL, VBA, Python, Qlikview, Cognos or other BI/data visualization tools is preferredStrong data querying, MS Excel and quantitative skills requiredExcellent communication, organizational and interpersonal skills, as well as the ability to multi-task under tight deadlinesMust have strong attention to detail, be self-motivated and inquisitive with an interest in financial marketsExperience with Fixed Income or other Capital Markets a plus -------------------------------------------------Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - US------------------------------------------------------Time Type :------------------------------------------------------  Citi is an equal opportunity and affirmative action employer.  Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.  Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.  To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.  To view the EEO Policy Statement CLICK HERE.  To view the Pay Transparency Posting CLICK HERE.",40.7127753,-74.0059728
142,4.4,"Data Analyst - News Partnerships, Media Partnerships","New York, NY",73000,119000,1d,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is seeking an experienced data and research professional to provide data driven insights around how News media partners can leverage Facebook's products to perform successfully. The position will drive key strategic data initiatives and market analysis, as well as providing actionable recommendations around optimizing partners performance in the News ecosystem. The role will be part of our News Partner Solutions team and is based at the Facebook New York. Responsibilities:Drive research and measurement strategy and manage prioritization of initiatives across internal and external stakeholdersBe able to interpret data and structure analyses to identify trends and actionable insights to drive strategic partnerships and industry communicationsBuild/maintain reports, dashboards and metrics to monitor the team's key performance indicatorsWork with global team to scale programsDeliver insights and make recommendations to partnersWork closely with Partner Solutions Managers and Strategic Partner Managers to educate and act as a consultant for internal stakeholders, scale data analysis in the regionAbility to analyze data to tell a story and make recommendationsQuery internal data and provide ongoing reporting/analysis about News partners and ecosystem performance for new product launches or company prioritiesBuild dashboards to support News Media Partnerships, both within the US and globallyAnalyze and segment partners to better understand our ecosystem and allocate resourcesCreate and manage data pipelines to aggregate data for News Media Partnerships teamManage requests and priorities while creating presentations for internal use with cross-functional teamsWork with other analysts to understand how major media publishers, journalists, and the News industry are using Facebook and Instagram to connect and share with people around the worldMininum Qualifications:BA/BS degree or higher5+ years experience, including leading research/measurement projectsExperience working in Hadoop/Hive, SQL and Excel to drive analysis and reporting of trendsExperience working independently and a track record of taking initiativeCommunication and presentation experienceExperience thinking strategically about issues, leading to recommendations and action plansExperience working cross-functionally with all levels of management, both internally and externallyPreferred Qualifications:Understanding of Tableau or similar software and experience with a statistical programming language (R, python, etc.)Understanding of Comscore and other digital analytics toolsExperience in a consumer technology and/or media company",40.7127753,-74.0059728
143,3.8,"Specialist Analyst Data Scientist - Technology, Consulting - Insight Studio - UG - Northwestern University (Summer/Fall)","New York, NY",132000,185000,27d,"While analytics  isn't new, we're experiencing a renaissance in the science, technology, and  application of business analytics. Many business leaders need to know how best  to quickly understand what their analytics can actually deliver. Our InsightStudio  team works with clients to discover new insights by transforming data into  intuitive, interactive visualizations—such as maps, charts, and dashboards—that  can help leaders see and explore their data in new ways. We need someone with  creative problem solving skills to tackle the challenges our clients present across  a broad range of industry domains. Work  you’ll do We are looking for  people who relish the opportunity to think creatively and outside the box and  enjoy working in collaborative teams. As a Data Scientist, you’ll take part in  building the next generation of InsightStudio solutions and prototypes using  advanced analytics and statistical modeling techniques. You will work in a  cross-functional environment with designers, developers, and business domain  specialists in applying advanced analytics techniques and algorithms, and you  will implement your ideas in real-world solutions and have the chance to  tangibly evaluate and validate your improvements and see the impact on our  clients. In addition to experience and familiarity with core data science  programming, the ideal candidate is someone who thrives on collaborative teams,  understands data science’s impact on business, and can help demystify it to our  clients. This person should have hands-on project/research experience with  machine learning techniques, good understanding of machine learning theory, and  a very high attention to detail. The  team InsightStudio brings the best of Deloitte Consulting’s analytics  assets, solutions, and talent into one, easy to engage, creative environment.  In order to jumpstart  efforts and rapidly deliver impacts that build our clients’ analytics maturity.  The InsightStudio can help grow a client’s analytics maturity whether they are  just starting to explore the possibilities of analytics efforts, beginning to  develop customizable solutions for certain divisions, or scaling capabilities  enterprise-wide. Our product offerings fit together, and complement one  another, to provide clients a pathway towards becoming an Insight Driven  Organization. The team serves as a global center of excellence for data  analytics and visualization. Learn  more about the InsightStudio. Qualifications • Bachelor’s degree completed by Summer 2020 in one of the following disciplines: computer science, statistics, mathematics, physics, or a closely related field  • Limited immigration sponsorship may be available  • Strong academic track record (preferred GPA of 3.5 or higher)  • Programming experience, ideally in Python, or another high-level programming/ scripting language  • Experience with R, database design, and SQL  • Ability to travel up to 50% How  you’ll grow The two most important tools in today’s  business world are experience and education. At Deloitte, you’ll find plenty of  both. Your first years will provide you with education, experience, and  opportunities that can help you to build your future. Our learning programs are  designed to develop your skills in four key areas — technical, professional,  industry, and leadership. You’ll also have access to a career roadmap that can  help you fully leverage the opportunities you need to succeed. Our teams  deliver engaging learning and networking opportunities virtually, in your local  office, and at Deloitte University. Along the way, you’ll have access to  mentoring, counseling, and training opportunities to help foster and accelerate  your development of new skills and capabilities. Learn more about  Deloitte University. Benefits At Deloitte, we know  that great people make a great company. We value our people and offer employees  a broad range of benefits. Learn  more about what working at Deloitte can mean for you. Deloitte’s culture At Deloitte, our culture values leadership and innovation. We  celebrate the value each individual is able to bring to our clients and our  culture. We believe that collaboration is a key to opportunity and  success. We empower and support our  people in the daily choices they must make to be healthy, confident and  centered. Learn more about Life at Deloitte. Corporate citizenship Ours is a culture of purpose. At Deloitte,  we believe that business has the power to inspire, transform, and drive change.  We focus on education, community outreach, and skill-based volunteerism. Learn more about Deloitte’s impact on  community.Recruiter tips At Deloitte, we want our potential candidates to  feel prepared and confident. To help you with your interview, we suggest that  you do your research: know some background about the company and the business  area you’re applying to. We also suggest that you brush up on your behavioral  and case interviewing skills and practice discussing your experience and job  history with a family member, friend, or mentor. Check out recruiting tips from Deloitte professionals to  help you prepare.As used in this posting, “Deloitte” means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Certain services may not be available to attest clients under the rules and regulations of public accounting.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.  Requisition code: S20NWUCF21AUUPB-T",40.7127753,-74.0059728
144,2.9,Senior Data Analyst,"New York, NY",74000,118000,20d,"BuzzFeed is looking for an analyst to join the data team and lead a set of important initiatives that will ensure the robustness and availability of data in our warehouse, shape our understanding of how readers use our products, and drive our longer term product strategy. We're seeking passionate professionals who have a proven track record using data in a meaningful way, informing decision making, and driving the continued growth and success of a product. You balance technical expertise, domain knowledge and a capacity to be deeply inquisitive.  BuzzFeed's data team is diverse. The team uses data-driven methods to power decisions, inform strategy, build robust data products, and identify opportunities for innovation across the company. We are true hybrids - analysts, statisticians, and domain experts- who specialize in translating questions into methodical approaches, experiments, and products. We think deeply about the limitations of data, and communicate our output coherently. You WillMake strategic and systematic recommendations and investments in improving overall data quality and governance.Collaborate closely with data analysts, data scientists, data engineers, and data PMs to implement the BuzzFeed data model, and advance our cross-departmental data governance initiative.Facilitate data integration, data quality, and integrity.Create and maintain critical documentation and metadata that allows data to be understood and leveraged across teams.Articulate and implement the strategy and repeatable processes for maintaining the BuzzFeed data model.Advise and shape product direction with data by delivering exploratory data analyses, designing and analyzing experiments, and defining and monitoring key metrics.Develop KPIs in a cross-platform world, balancing measures of engagement and revenue.Support development of data tooling, such as forecasts, anomaly detection, and our home-grown A/B testing platform.Communicate complex ideas in a clear way to partners across the company.Develop domain expertise in a specific product area.You HaveGood grasp of statistical concepts (e.g. hypothesis testing, regression)Proficiency with SQL.Experience with social data or media is a plus.Proficiency with Python.Experience with Looker is a plus.Life at BuzzFeed At BuzzFeed, we believe our work benefits from the diverse perspectives of our employees. As such, BuzzFeed celebrates inclusion and is committed to equal opportunity employment. As a BuzzFeed employee, you can expect: A supportive, inclusive atmosphere on a team that values your contributionsOpportunities for personal and professional growth via work experience, offerings from our in-house Learning Team, Employee Resource Groups, and moreAn attractive compensation package, including salary and equityA generous and well-rounded benefits program featuring PTO and unlimited sick time, comprehensive medical benefits, a family leave policy, access to mental health platforms, retirement plans, gym and wellness discounts, and much moreNo shortage of snacks, catered lunches, beverages, birthday treats... even leftovers from the Tasty kitchens in LA and NYC!",40.7127753,-74.0059728
145,2.7,Venture Capital Analyst - Data Scientist,"New York, NY",81000,120000,8d,"Job Location:Corporate New York CityABOUT SIMON VENTURES  Simon Ventures is the venture capital affiliate of Simon Property Group (Simon), an S&P 100 company as well as the largest publicly traded real estate investment trust in the S&P 500. Simon Ventures specializes in investing in next generation commerce as well as the retail technologies that power or optimize for those consumer experiences with CB Insights most recently recognizing Simon Ventures as one of the 10 most active investors in retail technology.  Simon Ventures can serve as a unique investment partner to founders by leveraging Simon's operational platform and access to market distribution channels to impact the slope and velocity of their growth while supporting their continued creative and shareholder control. This service proposition resonates with founders who are looking for a partner that can strategically amplify their abilities to create value and capitalize on unfair market advantage. PRIMARY PURPOSE The analyst role will be based in New York City. As an analyst you will have an opportunity to learn the venture capital business, including the fundamentals of asset allocation and the process of selecting high quality investments using both quantitative and qualitative analysis to support due diligence efforts, and gain insight into many fascinating startups that are innovating at the intersection of retail and technology. You will also contribute to building an investment platform that is focused on leveraging the best in assets across real estate, technology, brands and social influence to offer a service proposition to founders that is uniquely differentiated for venture capital.  The primary role of the analyst is to support the Managing Director, including due diligence and active portfolio management (including assisting and supporting portfolio companies with operational initiatives). Core duties include the following:  • Supporting deal origination efforts, including performing market research relating to investment trends, global market environments and analysis of bench-marking and comparative statistics  • Supporting the Managing Director in a variety of analytic and investment management activities, including running due diligence for potential investments and assisting in the preparation of IC memos and presentations  • Working with and supporting portfolio companies, including with the activation of any operational initiatives, research projects, competitor analysis, valuation work and board meeting support  • Conducting valuation updates and monitoring performance across the existing portfolio  • Helping with the coordination and production of regular reporting for IC review, including quarterly updates and other reports      THE IDEAL CANDIDATEEducation & Experience: • Bachelor’s degree and one to three years of investment banking, finance, investment management, start up or retail operating experience  • Demonstrated ability to execute detailed financial analysis  • Proficiency in MS Excel, Word and PowerPoint  • Strong writing skills Knowledge Skills and Abilities: • Interest in next generation commerce and retail technology  • Critical thinker, intellectually curious, detail-oriented and unafraid to ask questions  • Driven to work hard within a high performance environment with ability to work across a number of investments and projects simultaneously, sometimes on tight deadlines  • Strong technical/quantitative skills  • Strong fit within a team oriented, no ego, intellectually curious culture  • Strong interpersonal skills  #ZR",40.7127753,-74.0059728
146,3.7,Senior Data Analyst,"New York, NY",65000,100000,20d,"At Rockstar Games, we create the games we would want to play ourselves.  A career at Rockstar is about being part of a team working on some of the most creatively rewarding, large-scale projects to be found in any entertainment medium. You would be welcomed to a friendly, inclusive environment where you can learn, and collaborate with some of the most talented people in the industry.  Rockstar New York is seeking an experienced data analyst to join our growing Analytics practice and help build Rockstar's business intelligence capacity. Successful candidates will work with analytics and product leadership to assure that the most relevant possible real-time and historical data is identified, tracked, analyzed, and made actionable across all of our titles. This is a full-time permanent position based out of Rockstar's unique game development studio in the heart of downtown Manhattan. WHAT WE DOThe Rockstar Analytics team provide insights and actionable results to a wide variety of stakeholders across the organization in support of their decision making.We work together with a number of departments to design and implement data and pipelines.We collaborate as a global team to develop cutting-edge data pipelines, data products, data models, reports, analyses and machine learning applications.RESPONSIBILITIESPartner with analysts and live producers to identify strategic business questions, key metrics, and actionable insights.Provide consumer-ready recommendations, insights and reporting to Analytics team leadership, live producers, product managers and partner groups.Effectively translate statistical findings into actionable recommendations for senior leaders on game and business teams.Research and develop state-of-the-art data mining and statistical modeling solutions to understand game design, system performance and key business behaviors, such as player engagement.Drive needle moving improvements via hands-on exploration of data, dashboards, statistical analysis and predictive modeling.Combine qualitative and quantitative driven insights with game knowledge to recommend potential avenues to the game and business teams.Drive requirements for data collection and for data modeling with data engineersWork within a team of data analysts and engineers.QUALIFICATIONS5+ years in a similar position or an analytics role in the marketing, finance, forensics, or technology fields.Bachelor's degree in a quantitative field (Statistics, Applied Mathematics, Operational Research, Business Intelligence or any other relevant field).Graduate degree (MBA, MSc or master's, PHD), an asset.Extensive knowledge of data analysis techniques, languages, software and systems (SAS, R, Matlab, Python, SPSS, Tableau) required.Extensive knowledge in SQL (or a SQL-like language) required.Experience with Vertica and Hadoop, an asset.Game industry experience strongly desired.SKILLSStory telling.Ability to develop and maintain good relations and communicate with people at all hierarchical levels.Strong problem-solving skills.Ability to reconcile technical and business perspectives.Autonomy and entrepreneurship.Strong team spirit.Passion for Rockstar Games and our titles.HOW TO APPLY Please apply with a CV and cover-letter demonstrating how you meet the skills above. If we would like to move forward with your application, a Rockstar recruiter will reach out to you to explain next steps and guide you through the process.  Rockstar is proud to be an equal opportunity employer, and we are committed to hiring, promoting, and compensating employees based on their qualifications and demonstrated ability to perform job responsibilities.  If you've got the right skills for the job, we want to hear from you. We encourage applications from all suitable candidates regardless of age, disability, gender identity, sexual orientation, religion, belief, or race.SDL2017",40.7127753,-74.0059728
147,3.4,Market Data Analyst,"New York, NY",64000,100000,26d,"New YorkVIRTU As a leading financial technology firm, we leverage cutting-edge technology to deliver liquidity to global markets as well as innovative, transparent trading solutions and industry standard-setting analytics tools to our clients. As a market maker, Virtu provides deep liquidity that helps to create more efficient markets around the world. Our market structure expertise, broad diversification, and execution technology enables us to provide competitive bids and offers in over 19,000 securities, at over 235 venues, in 36 countries worldwide.  Virtu offers a dynamic, meritocratic environment with a flat hierarchy. No finance background is necessary or expected. This is a great opportunity for the right candidate to kick start a career in the financial technology space. THE ROLE Market Data Analyst will be supporting the team with the maintenance of FITS (Financial Information Tracking System) as well as supporting the business needs for adding, canceling and re-assigning market data services across teams. As a Market Data Analyst, the role will provide an opportunity to learn and expand into other areas of the business accounting and vendor management. A successful candidate will have the ability to work across broad, diverse groups; demonstrates the ability to collaborate and develop/maintain relationships within both the Firm and Vendors. The candidate will be a highly motivated and tenacious individual, with a proven ability to take initiative and work independently and within a team. Contribute to the day-to-day management of all Market Data services which includes vendor managementContribute to the maintenance of FITS (Financial Information Tracking System) inventoryProcess requests to add, cancel or re-assign services due to moves, departures or change in business requirementsObtain cost approvals and process orders in compliance with contract terms & conditionsContribute to the management of all aspects of the market data contract and invoice lifecycles (Receipt, reconciliation, renewal)Support monthly Accounting and Management reportingContribute to the search for cost reductions and savingsTHE CANDIDATE2 + years of experience in a related environmentFamiliarity with general accounting and financial concepts in order to provide accurate accounting of expensesProficient utilization of MS OFFICE products especially ExcelExperience with market data management applications (i.e. FITS, MDMS, etc.)Very strong written and verbal communication skillsSelf-discipline, attention to detail and a focus on resultsBachelor’s degree (BSc/BA)YOU’RE JUST RIGHT IF YOU WANT:A smaller team environmentA great place for upward and geographic mobilityDirect exposure to the decision makers and senior leaders on all sides of the businessThe energetic dynamism of financial marketsTeams that are passionate about continually learning, improving and raising the barA community that values hard work as well as work-life balanceA company that is committed to giving back to surrounding communities, from LA to Hong Kong and Sydney and the 11 locations in between",40.7127753,-74.0059728
148,4.1,Data Research Analyst,"New York, NY",37000,57000,30d+,"Position Summary The Data and Research Analyst develops, manages, and maintains reports and various data-driven processes and applications for analysis related to admissions, academics and financial reporting for the School of General Studies. Working primarily in SQL, the incumbent will use various data sources to perform analysis, assessment, and reporting while supporting data integrity and security. As an integral member of the team, the analyst will assist with data mining, research design, and strategic goals and objectives around analytics and data. Responsibilities Innovation: Create, maintain, and document innovative, user-friendly front-end reporting tools and platforms that provide point-and-click ability to produce reports for operational and analytical needs. Build and maintain databases and automate data processes, including ETL, SQL, stored procedures, crystal reports and enterprise business objects, etc., for in-house and third-party databases.  Reporting: Provide data and reports for federal and institutional research and annual reporting needs. Respond quickly to user requests received via the internal ticketing system and provide ad-hoc reports and datasets in response to requests from various departments.  Process improvement: Provide quantitative and qualitative analysis and feedback for research, surveys, and assessments; help facilitate design, execution, and reporting on research findings for use in strategic planning and policy development/implementation. Create framework for forecasting and modeling projects.  Data Quality Management: Identify data quality issues and work with appropriate stakeholders to devise and implement systematic solutions.  Documentation: Maintain meticulous documentation in the form of code and solutions for other analysts as well as explainer details for end users of data resources.  Communication: Quickly assess user needs and translate into clear and concise data requirements to ensure data and reports are provided in a timely fashion  Collaboration: Develop quality control systems to determine risks to identify database discrepancies and work collaborative with operational staff to execute reconciliation activities  Project Management: work with team members to plan short- and long-term projects, and participate in implementing strategic initiatives around research, forecasting, analysis, and reporting.  Other related duties as assigned. Minimum Qualifications + Bachelor's degree or equivalent required. A minimum of 3 years of related experience, or combination of education and experience. The ability to work with a high degree of independence and accountability as a member of a cohesive team. Excellent verbal and written communications skills. Proficiency in SQL, query and reporting analysis tools. Familiarity with relational database design. Proficiency with the Microsoft Office Suite, especially Excel. Ability to prioritize and manage multiple tasks under short and changing deadlines, while ensuring timely and accurate execution. Proven ability to create project plans and successfully complete projects. Excellent analytical, organizational, and interpersonal skills required; ability to analyze and interpret complex data sets, make findings relevant, and explain data and technology to a general (non-technical) audience. Act as an analytical thinker with the ability to work collaboratively and independently. Must have the ability to exercise sound judgment, discretion and tact in a highly confidential professional setting.  Preferred Qualifications  Experience with enterprise-level reporting tools is preferred.  Knowledge of an object-oriented language such as Python or R.  Experience with both qualitative and quantitative statistical methods in survey design, research, or assessments is preferred.  Experience using student information systems (SIS) and/or high-level enterprise resource planning (ERP) systems  Equal Opportunity Employer / Disability / Veteran  Columbia University is committed to the hiring of qualified local residents.",40.7127753,-74.0059728
149,3.4,Data Analyst,"New York, NY",43000,69000,5d,"T he Data Analyst ("" DA "") role within the Data Strategy group at Guy Carpenter ("" GC "") provides an opportunity to own the design, analysis and facilitation of data-centric workstreams across multiple innovative projects at one of the world's largest and most respected risk management and reinsurance firms . The D ata S trategy group has a "" start - up style"" mandate and internal consulting role (within a $1.3 billion company) to quickly and efficiently enhance the acquisition, storage, analysis, fidelity, and monetization of massive amounts of client, internal, and third-party data across the GC organization.  As a member of the Data Strategy group, the DA will work with data scientists, data engineers, product managers, and stakeholders from other internal groups to design and improve data products with the dual mandate of (1) increasing the efficiency of the data collection and analysis process across GC and (2) driving the monetization of data via new ly designed and existing products for GC's reinsurance clients . The DA will serve in a highly strategic role, interacting with business leads and technical heads as an advisor in the data strategy domain, developing SME knowledge and providing the team with proprietary research and planning around the adoption and implementation of new data products, strategies, and techniques.  Responsibilities Plan, research, defend, and present workstreams critical to the advancement of the Data Strategy group's agenda, including the formulation of new strategic initiatives to tackle the implementation of data structuring and analysis products, and the generation of new revenue streams for GC's brokering and advisory services Provide business-side analysis and communication about new technical products currently being adopted by various groups across the organization, leading the documentation, training, and improvement around these efforts Keep up-to -date on the latest trends and innovati on in data management and how these trends apply to G C's business and data strategy Contribute to the hiring efforts to continue to grow the Data Strategy group in key areas Construct decision matrices, ROI models , or other strategic forms of analysis on complex data projects Support product management in the prioritization of multiple workstreams handled by the group Respond to internal inquiries regarding the status, impact, and future of the Data Strategy group's initiatives Assist with the testing client facing interactive software products using a variety of technologies Establish and maintain strong relationships with internal clients Required Q ualifications 3-5 years of experience as a business analyst, consultant, or project manager for a tech-focused project or firm Significant experience working in an Agile environment to facilitate the quick and effective fulfillment of group goals Experience with data acquisition, including the curation of highly-usable third-party data sets and crowdsourcing technologies such as Mechanical Turk Good interpersonal skills for establishing and maintaining good internal relationships, working well as part of a team and for presentations and discussions Strong analytical skills and intellectual curiosity as demonstrated through academic experience or work assignments Ability to contribute to both technical and non-technical discussions Excellent English verbal and writing skills for complex communications with GC colleagues at all levels of the organization Good ability to prioritize workload according to volume, urgency, etc. and to deliver on required projects in a timely fashion Desire to take ownership o f proposed and assigned tasks and to seek assistance when needed Preferred Qualifications Experience with business intelligence technologies such as PowerBI , Looker , Tableau, etc. Exposure to technologies and programming languages such as Spark, Python, R , SQL, machine learning , and /or Robotic Process Automation (RPA) Prior experience in relevant insurance/reinsurance field performing analytic analysis or experience in consulting or analysis for the financial or insurance industry Guy Carpenter & Company, LLC, a leading global risk and reinsurance specialist, has over a 90-year history of providing integrated solutions to the (re)insurance industry. With over 2,300 professionals in more than 50 offices around the world, Guy Carpenter delivers a powerful combination of broking expertise, strategic advisory services and industry-leading analytics to help our clients achieve profitable growth. As our clients' most trusted and valuable reinsurance broker and strategic advisor, we leverage our intellectual capital to anticipate and solve for a range of emerging strategic business challenges and opportunities. We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. Visit www.guycarpenter.com for more information and follow us on LinkedIn and Twitter @GuyCarpenter  Guy Carpenter & Company, LLC and its separately incorporated operating entities around the world are part of Marsh & McLennan Companies, a publicly held company (ticker symbol: MMC).  Marsh & McLennan Companies offers competitive salaries and comprehensive benefits and programs including: health and welfare, tuition assistance, 401K, employee assistance program, domestic partnership benefits, career mobility, employee network groups, volunteer opportunities, and other programs. For more information about our company, please visit us at: http://www.mmc.com/. We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. For more information, please visit us at: www.mmc.com/diversity",40.7127753,-74.0059728
