company,com_rating,job1,location,Salary_min($),Salary_max($),datepost,desc
Columbia University,4.1,Data Analyst - Cardiology,"New York, NY",47,$81 ,3,"+ Job Type: Officer of Administration

+ Bargaining Unit: N/A

+ Regular/Temporary: Regular

+ End Date if Temporary: N/A

+ Hours Per Week: 35

+ Salary Range: Commensurate with experience

Position Summary

The main responsibility of this role in Columbia's Cardiometabolic Precision Medicine Program will be to plan and conduct statistical analyses of dense genetic, biochemical and lifestyle data in relation to a wide range of cardiometabolic outcomes including heart failure, coronary heart disease and diabetes in a large population based bioresource from South Asia. Genetic data will involve whole-exome sequencing and whole-genome sequencing data in more than 100,000 participants from unique population groups that are highly in-bred. This unique and large-scale project will provide insights into the etiology of cardiometabolic outcomes. A large number of high quality manuscripts will result from this work which will also benefit the candidate.

Responsibilities

+ Align multi-dimensional data from DNA based studies, phylogenetic analyses, expression studies, transcriptomics and methylation signatures using different bioinformatic tools.

+ Work closely with other members of the group including epidemiologists, system biologists, functional biologists, and clinicians to help interpret findings and prepare relevant manuscripts.

+ Assist in whole exome sequencing data analysis on clinical exome discovery project with fellows/clinicians.

+ Use available bioinformatics data (e.g., ENCODE, dbGAP) to gain further insights.

+ Perform other duties as required.

Minimum Qualifications

+ Requires a Bachelor's degree or equivalent in education and experience in bioinformatics, computational biology, mathematics, biostatistics or related disciplines plus 3 years of related experience. Advanced degree may substitute for experience.

Other Requirements

+ A sound understanding of statistical concepts and bioinformatics is essential.

+ Experience of working in UNIX / LINUX based operating systems and other statistical packages (such as STATA, R, PERL / PYTHON).

+ High-level report writing and presentation skills.

+ Strong organizational and interpersonal skills.

+ Excellent verbal and written communication skills.

+ Experience using Microsoft Office and statistical software (e.g., Stata, SPSS) and analyzing large data sets independently.

+ Ability to judge priorities and work to meet tight deadlines and ensure accuracy and rigor in all areas of work.

+ Work to targets both independently and within a multi-disciplinary team environment.

+ Must successfully complete system training requirements.

Preferred Qualifications

+ Advanced degree in domains outlined above is preferred but not required.

+ Prior experience with human whole exome or whole genome DNA sequencing data analysis or with RNA sequencing data analysis and multi-disciplinary team approach for translation to biological and functional genomics, systems biology and computational genomics, and clinical and therapeutic applications.

Equal Opportunity Employer / Disability / Veteran

Columbia University is committed to the hiring of qualified local residents."
Capco,3.8,Data Analyst,"New York, NY",60,$104 ,6,"Job Description:

About the team:

Capco’s Data Team helps our clients transform every aspect of their business. We are highly skilled at formulating data strategy, defining business and technology initiatives across the data management lifecycle, and aligning multi-year strategic roadmaps with client’s business goals. As digital technologies advance and regulations tighten, today’s consumers – and, therefore, today’s businesses – are becoming more aware of the importance of good quality data. We work to establish holistic ways to effectively manage data through the modern data supply chain and facilitate consumption through analytics, modeling, AI, machine learning, dashboarding, and reporting.

About the job:
As a member of our Data Team, you will work across Capco’s different domains and solution offerings to help break down large problems, develop approaches and solutions. As a Data Analyst, you will create analytics reporting and provide data-driven strategic insights, trends, and perspective to help drive transformation for our clients.

What You’ll Get to Do:

Engage data using analytical tools and languages to perform data manipulation and analysisCollaborate closely with developers to provide proofs of concept that can be converted into production-level processesThink through data relationships, life cycles and processes to ensure and improve consistent data qualityPerform research to gain context and meaning of uncultivated data setsDevelop and investigate hypotheses that drive product and feature enhancements, providing new value to our clientsSupport the importance of data processes, data integrity and cleanliness, and the strategic use of dataAccess and Compile large volumes of custom and syndicated data from disparate sources into concise and precise informationVerify accuracy, develop databases, systems, and programs that facilitate predictive modeling


What You’ll Bring with You:

Bachelor’s degree in Industrial Engineering, Finance, Mathematics, Operations Research, Computer Science, or equivalent/related degree required. Master’s preferred.Banking product knowledge on capital markets and core banking products3+ years‘ experience with writing complex SQL queries3+ years’ experience working with relational databases2+ years’ experience leading project teamsAbility to work both as an individual contributor and collaboratively in a fast-paced environmentExcellent communication skills; ability to explain technical concepts to a variety of audiencesExperience working with analysts in a research/modeling environment that leverages tools such as R, SAS, or SPSS is preferred

Why Capco?

You will join a company that supports and encourages an entrepreneurial outlook and independent thinking. Capco is not about organizational charts and layers – we operate with little hierarchy because we want all employees to feel that Capco is their firm.

We offer highly competitive benefits, including medical, dental and vision insurance, a 401(k) plan, tuition reimbursement, and a work culture focused on innovation and creation of lasting value for our clients and employees.

Ready to take the Next Step

If this sounds like you, we would love to hear from you. This is an opportunity to make a difference and contribute to a highly successful company with a significant growth trajectory.</p>"
Weill Cornell Medical College,3.7,Research Data Analyst,"New York, NY",54,$93 ,3,"Title: Research Data Analyst

Location: Upper East Side

Org Unit: Art Sedrakyan Lab

Work Days:

Exemption Status: Exempt
Position Summary

Provides study design, manages large and complex databases and performs statistical analysis in support of research activities.
Job Responsibilities


Under minimal supervision and in collaboration with clinicians, research faculty and other investigators, develops and reviews study protocols for soundness of study design and statistical methodology.
Provides statistical expertise in analyzing data. Executes analytical plans using statistical software and reports the results to investigators and collaborators. Performs intermediate to expert level statistical queries, analyses and evaluation.
Suggests changes or improvements to existing SAS code, analytical and study methods, and reports for validity and limitations.
Assists with data and documentation management.
Contributes to written sections for IRB applications, grant applications and manuscripts for assigned projects.
Performs chart review and data extraction for assigned projects as needed
Performs literature review related to projects or research activities as needed.
Coordinates research analytic projects that involve external partners/subcontractors.
Stays informed of related topics and statistical programming techniques as applied to research issues by reading journals and/or attending courses/programming meetings.



Education


Bachelor's Degree in related field



Experience

Master’s degree or higher in biostatistics, epidemiology, health services research, or related fields is desired. Medical training is major plus.

At least 1 year relevant experience in clinical, epidemiologic or health service research.

Work experience and/or research experience in large databases is highly desirable.

Complete proficiency in Microsoft Office and a statistical software package. SAS is the preferred statistical package, but expertise in R or Stata are also encouraged.

Knowledge of appropriate statistical analysis for clinical research studies.
Knowledge, Skills and Abilities


Good organization skills for project management, time management skills and the ability to manage several concurrent tasks.
Excellent communication skills (both verbal and written).
Ability to interact professionally with varying levels within the organization.



Licenses and Certifications
 Working Conditions/Physical Demands

Weill Cornell Medicine is a comprehensive academic medical center that's committed to excellence in patient care, scientific discovery, and the education of future physicians in New York City and around the world. Our doctors and scientists-faculty from Weill Cornell Medical College, Weill Cornell Graduate School of Medical Sciences, and the Weill Cornell Physician Organization-are engaged in world-class clinical care and cutting-edge research that connect patients to the latest treatment innovations and prevention strategies. Located in the heart of the Upper East Side's scientific corridor, Weill Cornell Medicine's powerful network of collaborators extends to its parent university Cornell University; to Qatar, where an international campus offers a U.S. medical degree; and to programs in Tanzania, Haiti, Brazil, Austria and Turkey. Our medical practices serve communities throughout New York City, and our faculty provide comprehensive care at NewYork-Presbyterian Hospital/Weill Cornell Medical Center, NewYork-Presbyterian/Lower Manhattan Hospital, and NewYork-Presbyterian/Queens. At Weill Cornell Medicine, we work together to treat each individual, not just their conditions or illnesses, as we strive to deliver the finest possible care for our patients - the center of everything we do. Weill Cornell Medicine is an Equal Employment Opportunity Employer. Weill Cornell Medicine provides equal employment opportunities to all qualified applicants without regard to race, sex, sexual orientation, gender identity, national origin, color, age, religion, protected veteran or disability status, or genetic information."
ApTask,4.2,Data Mapper/ Data Analyst,"New York, NY",53,$99 ,6,"ApTask Title: Data Mapper/ Data Analyst

Location: 1 Role in New York City, NY; 1 Role in Sun Prairie, WI

Duration: 6+ months contract Onsite

Weekly Schedule for this position: 40 hours a week

Visa: Any Visa

Interview: Phone

Number of Openings: 2

Job Description:




 Strong Data Mapping and Data Analysis Experience
Strong Experience in Property and Causality (Policy and claims experience)
Over 5-7 years of exp as a Business Analyst and Data Analyst
Experience with Property and Causality is a must.
4+ yrs. of data analyst experience
2+ yrs. of Insurance P&C experience
1+ yr. of Insurance (Specialty) experience a plus
Regulatory data requirements experience a plus (ISO, NYFTZ etc.)
Experience in Data ware house and report mapping a plus
Experience mapping source to target, derived, and reference data mapping




Apply Now!"
Milliman,4.0,Healthcare Data Analyst,"New York, NY",56,$97 ,4,"Do you have the analytic skills to find insight in a pile of healthcare data? Do you thrive in a fast-paced environment? Milliman’s NYC Health Practice is seeking professionals from a variety of analytic and clinical backgrounds to join our vibrant staff. We offer challenging projects, world-class resources, expert colleagues, a collaborative environment, and diverse client projects. Work, learn, and grow with us.

Milliman’s NYC Health Practice consults to clients on disease processes, treatments, costs, healthcare reform, risk, and payer systems. Our clients span all sectors of the health industry. Our services include analyzing financial arrangements, innovative contracts, disease states, therapeutic value, benefit design, healthcare reform, and health systems. We have brought unparalleled actuarial, analytical, and operational expertise to these clients.

Milliman is the world’s premier actuarial consulting firm with over 3,000 employees and $800 million in revenue. We attribute our 60+ years of continuous growth to our environment where independent and talented individuals succeed as outstanding professionals. We have a collegial, rigorous, supportive and non-bureaucratic environment.

We seek energetic and imaginative professionals to join our client-oriented team at our Penn Station, New York City location. Successful candidates will have the potential to become project/client leaders and become recognized as expert senior consultants.

The Health Informatics and Outcomes team of the NY Health Practice is looking for an analyst with strong critical thinking and technical skills to contribute to a variety of projects. This role is the ideal opportunity for someone with a desire to improve their technical and data literacy skills while gaining valuable experience in the field of healthcare.

Analysts have the opportunity to develop their skills on a diverse set of projects, a sample of which include:

Bundled Payment Reporting Interfaces: Interactive data visualization tools that allow providers who are participating in CMS bundled payment models to understand the costs and utilization of participating episodes of care. (More information here:http://www.milliman.com/Solutions/Products/Bundled-Payment-Reporting-Interface/#)Healthcare cost and utilization analysis: Analysis of Milliman’s vast administrative claims databases to help clients understand the cost and utilization associated with various patient populations. We frequently publish these analyses in white papers and peer-reviewed publications.Health outcomes modeling: Interactive Excel-based models that allow clients to understand how changes in treatment procedures or health behaviors affect cost and utilization outcomes.

Primary roles

Conduct hands-on data analytics, such as coding of patient identification algorithms and cost and utilization outcomes (e.g. readmission measures, quality measures). Produce code that is logically organized and well-documented.Learn and apply innovative techniques to large claims datasets to analyze a wide array of healthcare-related topicsCreate and execute claims processing procedures that are organized and time- and resource-efficientDerive insights from data and clearly articulate these insights to team members verbally and/or through exhibitsCreate and prepare neat and error-free exhibits and reports summarizing findings for client deliveryWork in collaboration with analysts, consultants, and actuaries to produce deliverables for clients in a timely manner

Qualifications:

Required:




Bachelor’s or Master’s degree, preferably in a quantitative (e.g. math, statistics) or healthcare-related field (e.g. Masters in Public Health)At least two years of experience analyzing medical insurance claims with SAS and/or SQLExperience using Microsoft Excel to build modelsUnderstanding of medical coding systems (CPT, ICD-9, DRG, etc.)Experience or knowledge of the healthcare industry and payer systemsExceptional problem solving and analytical skills, with a knack for finding and investigating trends and patterns in dataStrong attention to detail and the ability to be precise and clear when describing results of data analysesStrong oral and written communication skillsStrong organizational skills and ability to prioritize tasks with little supervisionAbility to work on and organize concurrent projectsAbility to work both independently and as part of a teamNew York City location; this job requires working with colleagues in our office


Preferred:




Experience conducting analyses using MarketScan and/or Medicare (or similar) databasesExperience with or interest in data visualization tools (e.g. Tableau, Qlikview)Advanced skills in SAS (macros, PROC SQL)


Requirements


Experience using advanced excel functionality (VBA, macros), SAS, and/or SQL in a professional capacity"
BuzzFeed,2.9,Senior Data Analyst,"New York, NY",62,$105 ,5,"BuzzFeed is looking for an analyst to join the data team and lead a set of important initiatives that will ensure the robustness and availability of data in our warehouse, shape our understanding of how readers use our products, and drive our longer term product strategy. We're seeking passionate professionals who have a proven track record using data in a meaningful way, informing decision making, and driving the continued growth and success of a product. You balance technical expertise, domain knowledge and a capacity to be deeply inquisitive.

BuzzFeed's data team is diverse. The team uses data-driven methods to power decisions, inform strategy, build robust data products, and identify opportunities for innovation across the company. We are true hybrids - analysts, statisticians, and domain experts- who specialize in translating questions into methodical approaches, experiments, and products. We think deeply about the limitations of data, and communicate our output coherently.

You Will


Make strategic and systematic recommendations and investments in improving overall data quality and governance.
Collaborate closely with data analysts, data scientists, data engineers, and data PMs to implement the BuzzFeed data model, and advance our cross-departmental data governance initiative. 

Facilitate data integration, data quality, and integrity.
Create and maintain critical documentation and metadata that allows data to be understood and leveraged across teams.
Articulate and implement the strategy and repeatable processes for maintaining the BuzzFeed data model.
Advise and shape product direction with data by delivering exploratory data analyses, designing and analyzing experiments, and defining and monitoring key metrics.
Develop KPIs in a cross-platform world, balancing measures of engagement and revenue.
Support development of data tooling, such as forecasts, anomaly detection, and our home-grown A/B testing platform.
Communicate complex ideas in a clear way to partners across the company.
Develop domain expertise in a specific product area.

You Have


Good grasp of statistical concepts (e.g. hypothesis testing, regression)
Proficiency with SQL.
Experience with social data or media is a plus.
Proficiency with Python.
Experience with Looker is a plus.

Life at BuzzFeed

At BuzzFeed, we believe our work benefits from the diverse perspectives of our employees. As such, BuzzFeed celebrates inclusion and is committed to equal opportunity employment. As a BuzzFeed employee, you can expect:


A supportive, inclusive atmosphere on a team that values your contributions
Opportunities for personal and professional growth via work experience, offerings from our in-house Learning Team, Employee Resource Groups, and more
An attractive compensation package, including salary and equity
A generous and well-rounded benefits program featuring PTO and unlimited sick time, comprehensive medical benefits, a family leave policy, access to mental health platforms, retirement plans, gym and wellness discounts, and much more
No shortage of snacks, catered lunches, beverages, birthday treats... even leftovers from the Tasty kitchens in LA and NYC!"
Advantage Technical Resourcing,2.4,Tableau Data Analyst,"New York, NY",70,$127 ,5,"Advantage #556878

12 Months

JOB DESCRIPTION

The successful candidate will be responsible for FI Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards.

KEY RESPONSIBILITIES

Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly

Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation.

Promote analytics driven decision making processes across multiple segments/product portfolios

Engage and execute the dashboards on Tableau or similar visualization tools

Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics

Engage relevant technology teams to embed advanced statistical tools

Prepare and/or contribute to regular updates for various committees and governance forums

Provide insights to senior management and the network based on MIS and analytics

Highlight any perceived risks and early alerts to the management based on data analytics

Perform data validation and dashboard performance optimization

REQUIRED KNOWLEDGE, EXPERIENCE AND COMPETENCIES

A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities

Strong academic record: Degree in Finance, Statistics, Computer Science or related field

Strong Knowledge of Tableau

Knowledge of either SAS, R or Python

Strong understanding of Hadoop Database

Proficient in excel and SQL

Knowledge of statistical modelling and machine learning will be an added plus

Understanding of the ETL process

Highly effective verbal and written English communication skills

Good presentation, time management, negotiation and influencing skills

Ability to influence without authority

Strong analytical and problem solving skills

Experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll out

Ability to manage multiple work streams with strong problem solving and analytical skills

Strong communication and presentation skills to varying levels of management

Advantage xPO is a premier global workforce solutions provider and part of Recruit Holdings Co. Ltd., one of the largest human capital management companies in the world. Widely recognized by industry experts and HRO Today magazine, Advantage xPO specializes in providing temporary to contract-to-hire and direct/permanent placements with proven expertise in Engineering/Technical, Information Technology, Scientific, Finance/Accounting, Human Resources, Clerical and Light Industrial. Advantage xPO connects you with the right opportunity at the right company.

Advantage Resourcing Americas, Inc. is an Equal Opportunity Employer offering employment without regard for race, color, religious creed, national origin, ancestry, gender, marital status, age, sexual orientation, sex, gender identity, disability, veteran status, or other legally protected categories. Advantage is a VEVRAA Federal Contractor.- provided by Dice"
Ajilon,3.5,Healthcare Data Analyst,"New York, NY",44,$79 ,2,"Job DescriptionHealthcare Data Analyst

New York, NY

Would you enjoy a job where you are supporting the data management of the Clinical Research team? If that sounds like something you would be qualified for, please apply here to be a Healthcare Data Analyst in New York, NY!

Responsibilities:

· Utilizes subject matter expertise and current knowledge to handle the day to day activities and workflow of the Clinical Research Team and also the Analytics team as required.

· Provides input in the area of expertise including the support of the development of research protocols, analysis plans, and manuscripts.

· Supports the data management of the Clinical Research team and helps with the identification of documentation errors, inconsistencies in data entry and comparable data anomalies.

· Communicates data availability and, when appropriate, recommends data integration and sharing opportunities between the research groups.

· Generates reports for the RRI Clinical Research team from both external and internal data sources and ensures that the research teams have all required information available in a timely fashion.

· Ensure all data analysis requests are conducted in compliance with HIPAA and other pertinent regulatory requirements.

· Manages multiple projects within the structure of RRI Research

· Other duties as assigned.

Qualifications:

· Master’s degree in epidemiology, public health or statistics

· Requires a minimum of 2+ years of experience using SAS and R. Knowledge of advanced features of Microsoft Excel (preferably also Visual Basic).

· Bachelor’s degree required with a combination of professional training and work experience (2-3 yrs)

· Experience with Oracle databases and SQL querying.

Apply here to be a Healthcare Data Analyst in New York, NY!"
Elite Technical,5.0,Healthcare Data Analyst,"New York, NY",45,$82 ,3,"Healthcare Data Analyst
Elite Technical is seeking a Healthcare Data Analyst for our client in New York, NY. The Healthcare Data Analyst will work with analytics, customer support, business development and the clinical teams to update existing and develop new fee schedules and payment rates for State Workers Compensation programs. The individual will serve as a subject matter expert for each of the state based schedules and will be responsible for all associated statistical methodologies to create the reimbursement models. Knowledge of Center for Medicare & Medicaid Services (CMS) Medicare fee schedule and state Workers- Compensation fee schedules is required. This position will be responsible for researching and creating models to help determine reimbursement values based on specified criteria. Responsibilities include the design, development, updating and deployment of multiple state fee schedules.

The Healthcare Data Analyst will write programs to import current fee schedules, perform statistical analyses, including providing comparisons to older fee schedules, Medicare rates and other state fees schedules and to generate new fee schedules. In addition, the Healthcare Data Analyst will export the new fee schedules into a format which can be directly incorporated into regulations and state fee schedule rules and guidelines.

This is a fulltime, direct opportunity with our client, who is offering a generous salary & benefits package allowing for career stability and professional growth. Please contact Elite Technical to learn more about this exciting opportunity.Required Skills- Knowledge of CMS and third-party fee schedules



Understanding of healthcare claims payment methodologies, and claims editing policies
Familiarity with health plan claims adjudication systems and interdependent applications
Strong experience and knowledge of SAS, SAS BASE, SAS SQL, SAS Macros, SAS tools
Excellent written and verbal communication skills.
Analytic, problem solving, technical skills and attention to detail are required
Strong interpersonal skills, including the ability to work in a highly cross-functional, multi-location organization
Comprehensive knowledge of MS Office Suite of Products including Excel and PowerPointApply Now"
"DVF Studio, LLC",2.9,Master Data Analyst,"New York, NY",64,$112 ,5,"The Master Data Analyst role is a support function to Global Merchandising, Retail, Product Development, eCommerce and Logistics. The Master Data Analyst owns the integrity of our Vendor, Customer, and Item Set Up from product inception through liquidation by coordinating the departments that own the data elements, validating the data in our various systems, documenting process and training new hires. A high systems acumen, personal organization and attention to detail are key in this role.	Collaborate with Product Development and Merchandising in the promotion of new styles in Blue Cherry Conduct data cleaning to rid the system of old, unused data, or duplicate data for better management and quicker access - 15%

Support Sales and Production in the set-up of new Customers and Vendors, ensuring that all Terms, Discounts, Sales Offices and EDI flags are accurate - 10%

Support Sales and Merchandising during Market to ensure that Line sheets are timely and accurate, that prices are entered on time, information is uploaded to JOOR and that any changes are updated in the systems - 10%

Support product catalog set up across all channels globally. This includes Outlet, Licensed and 3rd Party. Validate/ QC markdowns and promotional pricing for stores and ecommerce globally - 25%

Partner with IT in documenting item set-up process / procedures and train new staff as necessary - 10%

Support E Commerce attributing and Item Set up process for Demand Ware. Work with site merchandising and buying office to ensure all products are ready to Go Live on web - 25%

Support Production, Merchandising and Operations in tracking progress against milestones on the PDT calendar - 5%

Qualifications:

High Excel Acumen, Systems competency, Data Entry experience, Organization, Ability to work independently, Ability to Multi Task

Preferred: Experience working in Product Development, Experience using Blue Cherry, PLM and AX"
Criteo,3.8,Data Analyst,"New York, NY",59,$111 ,2,"Who we areAt Criteo, we are building the advertising platform of choice for the open Internet, an ecosystem that favors neutrality, transparency and inclusiveness. With more than 1.4 billion active shoppers and $600 billion in annual commerce sales, we deliver performance at scale. Founded in a Paris start-up incubator, Criteo now carries out our entrepreneurial spirit across 30+ global offices. Do you want to have an impact on more than half of the world’s internet users? Join us and be part of something big. Why work for us?We are innovative, passionate, fearless, creative, driven, and adaptable. Our core values are at the heart of who we are. We have a spontaneous and vibrant culture, and we truly believe in team spirit and collaboration. 100% premium coverage of Healthcare Plan. When apples aren’t enoughCompetitive compensation. Be fancyCareer advancement with global mobility opportunities. A little bit of “Je ne sais quoi”Vacation policy. Because your mom misses youHappy hour, snacks, arcade/game rooms. Eat. Drink. Be merryTravel & reimbursement options. Until jetpacks are a thing401(k) fully vested matching. Basically free $$$ Check out a day in the life at Criteo! Role OverviewA Data Analyst on the Data Science & Analytics (AX) team is a key player in understanding every aspect of Criteo’s complex business. This role interfaces across the organization to answer challenging analytical questions related to the performance of Criteo’s marketing solutions. The person occupying this position will have an exceptionally broad view of every aspect of Criteo’s business with a regional focus on North America. The scope involves both technically rigorous work, including the use leading-edge data analysis technologies, and daily interaction with other cross-functional business units as well as external clients.Criteo’s business model brings both opportunities and challenges. This position involves dealing with a considerable amount of complex, real-world data and requires a candidate who is comfortable thinking of new and innovative ways to analyze data and solve problems. The ideal candidate can function with minimal oversight and has a strong ability to learn new concepts quickly. What you'll do:Create, maintain and own reports in support of Account Strategy, Sales, and Ops teamsConduct ad-hoc analyses as appropriate, including in-depth, data-driven reviews of Criteo’s performance for specific clientsDetermine opportunities for automation using Tableau, Python, Criteo’s ETL tools or any other technologiesMaintain deep knowledge of Criteo products, technologies, and position in the marketplaceDevelop understanding of Criteo buying methods, including direct and programmatic (real-time bidding) relationshipsAnalyze revenue, margin, CTR, conversion rates and other financial metrics related to Criteo clientsTest and analyze new Criteo products and improvements to core Criteo technologyPresent as appropriate to individuals throughout the organization and to Criteo clients externallyCreate and deliver client-facing analysis, including calls and in-person presentations (occasional domestic travel may be involved)Manage controlled A/B tests from design, to execution, to analysis and presentation of results Who you are: Bachelor’s degree or higher in a quantitative field (Mathematics, Computer Science, Engineering, Physics, etc.)Minimum 2-3 years full-time, analytics-relevant work experience (experience in the industry is a plus)Exceptional attention to detailKnowledge of SQL and ExcelBackground in any of the following a plus: Python, Tableau, Vertica, Hive/HadoopConceptual and practical understanding of relational databases and data architecture/governance principlesConceptual and practical understanding of statistics and real-world application of statistical concepts in a testing environmentBasic understanding of internet advertising technology (tagging, cookies, trafficking)Understanding of digital marketing concepts (CPC, CTR, ROAS, etc.)Strong intellectual curiosity and ability to structure and solve difficult problems with minimal supervisionNative-level English fluencyThe ability to present results to both technical and non-technical audiencesAbility to present and defend complex analysis both internally and externallyMust have the combination of technical skills, passion for learning, and an outgoing personality able to deal with strong characters in a dynamic environmentAt Criteo, we dare to be different. We believe that diversity fuels innovation and creates an energy that can be seen and felt all over Criteo. We champion different perspectives and are committed to creating a workplace where all Criteos are heard and feel a sense of belonging.Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities. Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to the different Criteo entities across the world. By clicking the ""Apply"" button you expressly give your consent."
CBRE,3.6,Research Data Analyst,"Saddle Brook, NJ",44,$80 ,4,"RESPONSIBILITIES

Responsible for conducting research and data analysis for a variety of organizational projects and initiatives.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Assists in collection, aggregation and input of data (comps, Tenants in Markets, properties, availabilities, new constructions etc.) into CBRE property database.

Performs periodic data audits and change reports to ensure that quantity and quality of our data is top notch.

Picks up basic data visualization and programming skills to assist the Senior Analyst and DI manager on special projects.

Performs other duties as assigned.

SUPERVISORY RESPONSIBILITIES

No formal supervisory responsibilities in this position. May provide informal assistance such as technical guidance, and/or training to coworkers. May coordinate and assign tasks to co-workers within a work unit and/or project.

\n\nQUALIFICATIONS

EDUCATION and EXPERIENCE

Bachelor's degree from four-year college or university; or Associate degree and a minimum of 2 years related experience and/or training; or equivalent combination of education and experience.

0-4 years of experience in commercial real estate or other market research role

CERTIFICATES and/or LICENSES

None.

COMMUNICATION SKILLS

Excellent written and verbal communication skills. Strong organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.

FINANCIAL KNOWLEDGE

Requires knowledge of financial terms and principles. Ability to calculate intermediate figures such as percentages, discounts, and/or commissions. Conducts basic financial analysis.

REASONING ABILITY

Ability to comprehend, analyze, and interpret documents. Ability to solve problems involving several options in situations. Requires intermediate analytical and quantitative skills.

OTHER SKILLS and ABILITIES

Ability to handle and manipulate large amounts of data.

Intermediate experience with Microsoft Office and Tableau.

Possess a positive work attitude and ability to work in a team environment.

SCOPE OF RESPONSIBILITY

Decisions made with understanding of procedures and company policies to achieve set results and deadlines. Responsible for setting own project deadlines. Errors in judgment may cause short-term impact to co-workers and supervisor."
