rating,job_title,company,location,salary,lat,lng,AI,AWS,Azure,Big-Data,C/C++,Data-Analysis,Data-Mining,Data-Warehouse,Hadoop,Hive,Java,Kafka,Linux,MATLAB,Machine-Learning,Microsoft-Office,Microsoft-SQL-Server,Natural-Language-Processing,NoSQL,Oracle,Pig,Python,R,SAS,SQL,Scala,Scripting,Spark,Tableau,TensorFlow
,SAP FI/CO Functional Business Analyst,Cox Little & Company,"Birmingham, AL",115000.0,"35.1581422,",-80.83064250000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst 50-60k,Vaco,"Birmingham, AL 35209",,"35.1030974,",-89.8614191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Business Analyst,PangeaTwo,"Birmingham, AL",,"33.4372609,",-86.7197095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,BUSINESS PROCESS ANALYST I,Compass Bank dba BBVA Compass,"Homewood, AL",,"33.5123288,",-86.8036185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,BUSINESS PROCESS ANALYST I,BBVA Compass,0,,"31.58127009999999,",-97.1717752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Intelligence Analyst,STERIS,0,,"34.765519,",-92.43497099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
,Jr Business Intelligence Analyst,BBVA Compass,0,,"31.58127009999999,",-97.1717752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,BBVA Compass,0,,"31.58127009999999,",-97.1717752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Jr Business Intelligence Analyst,Books-A-Million,0,,"36.0562381,",-96.0053037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
,HR Data & Analytics Specialist,Encompass Health,0,,"36.1090302,",-94.1547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
,HRIS Data Analyst,Ogletree Deakins,0,,"40.757962,",-73.97083559999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,MainStreet Family Urgent Care,0,,"34.3164068,",-86.5032777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,BUSINESS ANALYST,Integrated Solutions for Systems,0,,"34.6544581,",-86.7567684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical Business Analyst,ITAC Solutions,"Birmingham, AL 35233",,"33.4458713,",-86.7926596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Manager of Data Analytics,ITAC Solutions,"Birmingham, AL 35233",,"33.4458713,",-86.7926596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
,Business Analyst,"CGI Group, Inc.","Birmingham, AL 35202",,"33.355946,",-111.97413300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Senior Business Analyst,ResourceTek,"Muscle Shoals, AL",,"36.1545849,",-86.771998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
,Senior Technical Data Management Analyst,Intuitive Research and Technology,"Huntsville, AL 35824",,"34.7298507,",-86.66722259999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analysis Associate – General Aviation,The Aviation Recruitment & Consulting Group,"Mobile, AL",54000.0,"30.0939669,",-81.711467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,E-Commerce Data Analytics Manager,Fetch,0,88000.0,"39.1013118,",-94.59940440000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Category Management Analyst,Shipt,0,,"33.5143606,",-86.80514409999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
,Data Analyst,Canvas Inc.,"Huntsville, AL 35801",,"34.7330801,",-86.5853001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst - Data Quality Services,Jacobs,0,,"36.1515073,",-95.9926189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Business Analyst,UDA Technologies,0,,"32.583397,",-85.441017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Strategic/Business Analyst,INTERNATIONAL CODE COUNCIL INC,0,,"41.5419849,",-87.714541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst,"a.i. solutions, Inc",0,,"38.9511572,",-76.8342039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,HRIS Analyst,Command Alkon,0,,"33.405194,",-86.762813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,Business Analyst,ibml,0,,"33.5418659,",-86.69053559999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Quality Analyst Sr,"QTC Management, Inc.",United States,,"34.1090729,",-117.82457350000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"Analyst II, Business",Spire,"Birmingham, AL 35295",,"39.0659452,",-94.59074509999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
,Business Analyst,CBD College,United States,,"34.062241,",-118.306148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
,Business Analyst – Metadata Management / Data Quality Servic...,Jacobs,0,,"36.1515073,",-95.9926189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,"Analyst II, Business (Birmingham)",Spire Inc.,"Birmingham, AL 35295",,"37.7651131,",-122.4024625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
,Supply Chain Management Data Analyst,Southeast Health,0,,"31.2159629,",-85.3660809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Quality Analyst (Nationwide),Alliance Source Testing LLC,"Decatur, AL 35601",,"34.5389933,",-86.9824283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst II,Jacobs,0,,"36.1515073,",-95.9926189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,Business Analyst,UDA Technologies,0,,"32.583397,",-85.441017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Senior Business Analyst,FreightCar America,0,,"34.748771,",-87.8829002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
,"Senior Technical Data Management Analyst - Huntsville, AL",Intuitive Research and Technology Corporation,0,,"34.7298507,",-86.66722259999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,"CGI Group, Inc.",0,,"33.355946,",-111.97413300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Technical Business Analyst,INTL FCStone,0,,"38.9574577,",-95.3086066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Senior Financialforce PSA Consultant / Business Analyst - Re...,Platform 6 Ltd,United States,140000.0,"52.5070312,",-0.41523820000000006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Senior Sage 300 Consultant / Business Analyst - US Based Rem...,Net at Work,United States,,"40.755035,",-73.991803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"Associate Director, Data Science - Custom Analytics",PRA Health Sciences,United States,,"38.952607,",-94.776349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,Configuration Management / Data Management Analyst,Leidos,"Huntsville, AL 35806",,"38.6084848,",-90.24148259999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst- Relocation to Saudi Arabia,Saudi Aramco,United States,,"40.76,",-73.97350899999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
,Configuration Management / Data Management Analyst,Leidos,0,,"38.6084848,",-90.24148259999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Configuration and Data Management Analyst,COLSA,0,,"34.7247779,",-86.6739633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,ICOFT Configuration Data Management Analyst,"Simulation Technologies, Inc. (SimTech)","Huntsville, AL 35806",,"34.7125756,",-86.68225770000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst,"Geocent, LLC.","Huntsville, AL 35816",,"34.721818,",-86.671561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
,Data Analyst,SAIC,0,,"36.8965367,",-93.57061999999999,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst/Revenue Systems Analyst Central Business Office...,Birmingham Market Office,"Birmingham, AL",,"33.4834837,",-86.789955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,Cosma International,0,,"43.7160832,",-79.6800293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Program Analyst,US Department of the Army,0,124204.0,"34.6645843,",-98.4156381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,HR Data Analyst,University of Alabama at Birmingham,0,,"33.5019893,",-86.8064433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,Configuration/Data Management Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Intelligence Business Analyst,Brasfield & Gorrie,0,,"32.863809,",-96.768787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,SBIR Business Analyst,Frontier Technology Inc.,0,,"34.7335411,",-86.65547590000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Product Data Analyst,Abaco Systems,0,,"34.607792,",-86.56667900000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Business Analyst,America's Thrift Stores,0,,"34.5544173,",-86.99732359999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Business Analyst - Visual Information Support,Jacobs,0,,"36.1515073,",-95.9926189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Business Analyst II,Prescient Edge Federal,"Mooresville, AL 35649",,"38.9277598,",-77.2156213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Radar Data Analyst,DECISIVE ANALYTICS Corporation,0,,"38.86103629999999,",-77.04978929999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,HR Data Analyst,UAB Medicine,0,,"33.503198,",-86.8039601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,"Data Analyst (Huntsville, AL)",Troy 7,"Huntsville, AL",,"34.7108976,",-86.6835345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,Randall-Reilly,0,,"33.2458908,",-87.51225649999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Technical Business Analyst/Business Intelligence,"Geocent, LLC.","Huntsville, AL 35816",,"34.721818,",-86.671561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,IT Business Analyst / Programmer,Cerro Wire LLC,0,,"34.41346410000001,",-86.9175184,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Business Analyst - IT Projects,Public Consulting Group,0,,"36.1649389,",-86.78080600000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SCAMPI Business Analyst,Caelum Research Corporation,0,,"39.10535489999999,",-77.16118840000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Business Analyst-ERP Systems,Southeast Health,0,,"31.2159629,",-85.3660809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,Teledyne Brown Engineering Inc,0,,"34.7225871,",-86.6455894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Analyst I-Engineering,Windstream Communications,0,,"36.0176293,",-95.85296890000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,QuantiTech,0,,"34.7075212,",-86.68674200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analysis,ASRC Federal Holding Company,0,,"39.0654103,",-76.88785949999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Process Analyst,FIS,0,,"35.45436189999999,",-97.59823940000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,SAP Business Analyst - FICO,Constellium,0,,"38.9303788,",-81.82795279999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Supervisory Program Analyst,US Department of the Army,0,136576.0,"34.6645843,",-98.4156381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Procurement Operations Analyst,"Amazon.com Services, Inc.",0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Management And Program Analyst,US Department of the Army,0,115901.0,"34.6645843,",-98.4156381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Financial Analyst,Fetch,0,58000.0,"39.1013118,",-94.59940440000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Business Analyst - Treasury,Brasfield & Gorrie,0,,"32.863809,",-96.768787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Automotive Business Analyst - Dominion VUE DMS,Dominion DMS,0,,"30.6709771,",-88.1419867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Principal Data Mgmt Analyst,Northrop Grumman,0,,"32.9271581,",-97.0138089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Tableau Developer/Data Visualization,"Nobletech Solutions, Inc.","Huntsville, AL 35816",,"34.7435559,",-86.65563780000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
,Mid - Level Business Analyst,Teledyne Brown Engineering Inc,0,,"34.7225871,",-86.6455894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Staff Analyst,BOEING,0,,"35.4042749,",-97.40611820000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Process Analyst,Total Computer Solutions,0,,"33.9625719,",-78.39836159999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Omni Channel Business Analyst - Payments and Transactions,Regions Bank,0,,"36.3036778,",-94.1860834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Governance and Portfolio Management: Business Analyst II,Caelum Research Corporation,0,65000.0,"39.10535489999999,",-77.16118840000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,IT Compliance Analyst,Sanmina Corporation,0,,"32.9461451,",-96.91075090000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Process Analyst Sr_ITSS,SAIC,0,,"36.8965367,",-93.57061999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Senior Business Analyst - Project Manager,Blue Cross and Blue Shield of Alabama,0,,"33.3680003,",-86.78916770000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Process Analyst (Program Integrator),General Dynamics Information Technology,0,,"30.1665913,",-85.754776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Lead Business Analyst,Cadence Bank,0,,"35.1366066,",-90.0110292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Apache Analyst IV-Data Suport Technician,VT-Group,0,,"34.674586,",-86.76201390000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Senior Tax Analyst (public tax experience ideal!),PangeaTwo,"Birmingham, AL",,"33.4372609,",-86.7197095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Student Acct Services Analyst - Campus Only,The University of Alabama,0,,"33.2140233,",-87.5391418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Entry Level Acquisition Analyst,"Modern Technology Solutions, Inc. (MTSI)",0,,"34.7091221,",-86.68761020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Contracts Support Analyst I,AmerisourceBergen,0,,"32.9638019,",-96.717572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Risk Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Program Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"ASAALT Business Analyst (Huntsville, AL)",Integrated Data Service Inc.,"Huntsville, AL 35808",,"33.9027004,",-118.386921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Risk Credit Reporting Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,SAP Business Analyst - Manufacturing,Constellium,0,,"38.9303788,",-81.82795279999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
