rating,job_title,company,location,salary,lat,lng,skills
,Technical Business Analyst,INTL FCStone,0,,"38.9574577,",-95.3086066,"SQL,R"
,Senior Financialforce PSA Consultant / Business Analyst - Re...,Platform 6 Ltd,United States,140000,"52.5070312,",-0.4152382,"R,Java"
,Senior Sage 300 Consultant / Business Analyst - US Based Rem...,Net at Work,United States,,"40.755035,",-73.991803,R
,"Associate Director, Data Science - Custom Analytics",PRA Health Sciences,United States,,"38.952607,",-94.776349,"SQL,R,SAS,Data-Analysis"
,Configuration Management / Data Management Analyst,Leidos,"Huntsville, AL 35806",,"38.6084848,",-90.2414826,"R,Microsoft-Office"
,Data Analyst- Relocation to Saudi Arabia,Saudi Aramco,United States,,"40.76,",-73.973509,"Python,SQL,R,Java,Tableau,Oracle"
,Configuration Management / Data Management Analyst,Leidos,0,,"38.6084848,",-90.2414826,"R,Microsoft-Office"
,Configuration and Data Management Analyst,COLSA,0,,"34.7247779,",-86.6739633,R
,ICOFT Configuration Data Management Analyst,"Simulation Technologies, Inc. (SimTech)","Huntsville, AL 35806",,"34.7125756,",-86.6822577,R
,Data Analyst,"Geocent, LLC.","Huntsville, AL 35816",,"34.721818,",-86.671561,"SQL,R,Tableau,Oracle"
,Data Analyst,SAIC,0,,"36.8965367,",-93.57062,"R,Java,AI,MATLAB"
,Data Analyst/Revenue Systems Analyst Central Business Office...,Birmingham Market Office,"Birmingham, AL",,"33.4834837,",-86.789955,R
,Business Analyst,Cosma International,0,,"43.7160832,",-79.6800293,"SQL,R,Java"
,Program Analyst,US Department of the Army,0,124204,"34.6645843,",-98.4156381,R
,HR Data Analyst,University of Alabama at Birmingham,0,,"33.5019893,",-86.8064433,"R,Tableau"
,Configuration/Data Management Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,"R,Microsoft-Office"
,Business Intelligence Business Analyst,Brasfield & Gorrie,0,,"32.863809,",-96.768787,"SQL,R"
,SBIR Business Analyst,Frontier Technology Inc.,0,,"34.7335411,",-86.6554759,R
,Product Data Analyst,Abaco Systems,0,,"34.607792,",-86.566679,"SQL,R,Microsoft-Office"
,Business Analyst,America's Thrift Stores,0,,"34.5544173,",-86.9973236,SQL
,Business Analyst - Visual Information Support,Jacobs,0,,"36.1515073,",-95.9926189,"SQL,R"
,Business Analyst II,Prescient Edge Federal,"Mooresville, AL 35649",,"38.9277598,",-77.2156213,"SQL,R"
,Radar Data Analyst,DECISIVE ANALYTICS Corporation,0,,"38.86103629999999,",-77.0497893,"Python,R,MATLAB"
,HR Data Analyst,UAB Medicine,0,,"33.503198,",-86.8039601,"R,Tableau"
,"Data Analyst (Huntsville, AL)",Troy 7,"Huntsville, AL",,"34.7108976,",-86.6835345,R
,Business Analyst,Randall-Reilly,0,,"33.2458908,",-87.5122565,"SQL,R"
,Technical Business Analyst/Business Intelligence,"Geocent, LLC.","Huntsville, AL 35816",,"34.721818,",-86.671561,"R,Data-Warehouse"
,IT Business Analyst / Programmer,Cerro Wire LLC,0,,"34.41346410000001,",-86.9175184,"SQL,R,Java,Data-Warehouse,Azure"
,Business Analyst - IT Projects,Public Consulting Group,0,,"36.1649389,",-86.780806,
,SCAMPI Business Analyst,Caelum Research Corporation,0,,"39.10535489999999,",-77.1611884,
,Business Analyst-ERP Systems,Southeast Health,0,,"31.2159629,",-85.3660809,R
,Business Analyst,Teledyne Brown Engineering Inc,0,,"34.7225871,",-86.6455894,R
,Analyst I-Engineering,Windstream Communications,0,,"36.0176293,",-95.8529689,"R,Microsoft-Office"
,Business Analyst,QuantiTech,0,,"34.7075212,",-86.686742,R
,Data Analysis,ASRC Federal Holding Company,0,,"39.0654103,",-76.8878595,"R,Data-Analysis"
,Business Process Analyst,FIS,0,,"35.45436189999999,",-97.5982394,R
,SAP Business Analyst - FICO,Constellium,0,,"38.9303788,",-81.8279528,R
,Supervisory Program Analyst,US Department of the Army,0,136576,"34.6645843,",-98.4156381,R
,Procurement Operations Analyst,"Amazon.com Services, Inc.",0,,,,"R,AI,Microsoft-Office"
,Management And Program Analyst,US Department of the Army,0,115901,"34.6645843,",-98.4156381,R
,Financial Analyst,Fetch,0,58000,"39.1013118,",-94.5994044,
,Business Analyst - Treasury,Brasfield & Gorrie,0,,"32.863809,",-96.768787,"R,Microsoft-Office"
,Automotive Business Analyst - Dominion VUE DMS,Dominion DMS,0,,"30.6709771,",-88.1419867,"R,Java"
,Principal Data Mgmt Analyst,Northrop Grumman,0,,"32.9271581,",-97.0138089,R
,Tableau Developer/Data Visualization,"Nobletech Solutions, Inc.","Huntsville, AL 35816",,"34.7435559,",-86.6556378,"R,Hadoop,Tableau,Oracle"
,Mid - Level Business Analyst,Teledyne Brown Engineering Inc,0,,"34.7225871,",-86.6455894,R
,Staff Analyst,BOEING,0,,"35.4042749,",-97.4061182,"R,Microsoft-Office"
,Business Process Analyst,Total Computer Solutions,0,,"33.9625719,",-78.3983616,R
,Omni Channel Business Analyst - Payments and Transactions,Regions Bank,0,,"36.3036778,",-94.1860834,R
,Governance and Portfolio Management: Business Analyst II,Caelum Research Corporation,0,65000,"39.10535489999999,",-77.1611884,"R,Oracle"
,IT Compliance Analyst,Sanmina Corporation,0,,"32.9461451,",-96.9107509,R
,Business Process Analyst Sr_ITSS,SAIC,0,,"36.8965367,",-93.57062,"R,AI"
,Senior Business Analyst - Project Manager,Blue Cross and Blue Shield of Alabama,0,,"33.3680003,",-86.7891677,"R,Microsoft-Office"
,Business Process Analyst (Program Integrator),General Dynamics Information Technology,0,,"30.1665913,",-85.754776,"R,Microsoft-Office"
,Lead Business Analyst,Cadence Bank,0,,"35.1366066,",-90.0110292,"R,Microsoft-Office"
,Apache Analyst IV-Data Suport Technician,VT-Group,0,,"34.674586,",-86.7620139,R
,Senior Tax Analyst (public tax experience ideal!),PangeaTwo,"Birmingham, AL",,"33.4372609,",-86.7197095,R
,Student Acct Services Analyst - Campus Only,The University of Alabama,0,,"33.2140233,",-87.5391418,R
,Entry Level Acquisition Analyst,"Modern Technology Solutions, Inc. (MTSI)",0,,"34.7091221,",-86.6876102,R
,Contracts Support Analyst I,AmerisourceBergen,0,,"32.9638019,",-96.717572,R
,Risk Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,R
,Program Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,R
,"ASAALT Business Analyst (Huntsville, AL)",Integrated Data Service Inc.,"Huntsville, AL 35808",,"33.9027004,",-118.386921,R
,Risk Credit Reporting Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,"SQL,R,SAS,Microsoft-Office"
,SAP Business Analyst - Manufacturing,Constellium,0,,"38.9303788,",-81.8279528,R
,Internal Control Analyst,Hibbett Sports,0,,"37.2241234,",-95.7406026,"R,SAS"
,Jr. Army Aviation Systems Analyst - US Citizenship Required,"AVNIK Defense Solutions, Inc.","Huntsville, AL 35806",,"34.7018618,",-86.6910069,R
,Business Intelligence Manager,Regions Bank,0,,"36.3036778,",-94.1860834,"SQL,R,SAS,Microsoft-Office"
,Computer and IT (CIT) Quality Assurance Analyst (QAA),Vectrus,0,,"38.8996411,",-104.8735324,R
,Business Analyst/Project Manager,NMR Consulting,0,,"38.8753461,",-77.4659845,R
,Business Process Analyst Principal_ITSS,SAIC,0,,"36.8965367,",-93.57062,"R,AI,Microsoft-Office"
,Sr. IT Business Systems Analyst – Global Supply Chain,Sanmina Corporation,0,,"32.9461451,",-96.9107509,"R,Oracle"
,Civil Engineering (CE) Quality Assurance Analyst (QAA),Vectrus,0,,"38.8996411,",-104.8735324,R
,Risk Credit Reporting Sr. Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,"SQL,R,SAS,Microsoft-Office"
,Production Control Analyst,Tarkett,0,,"41.396787,",-81.468129,R
,Quality Analyst/Principal Quality Analyst,Northrop Grumman,0,,"32.9271581,",-97.0138089,R
,Compensation Analyst,Hargrove Engineers + Constructors,0,,"33.3657836,",-86.7862239,R
,Financial Analyst,"Torch Technologies, Inc.","Huntsville, AL 35802",,"34.6774505,",-86.5779171,"R,Microsoft-Office"
,Grandbridge Commercial Real Estate Analyst,BB&T,0,,"33.0270856,",-96.8345257,"R,Microsoft-Office"
,CADD Business Analyst with Top Secret Clearance,NTT DATA Services,0,,"33.0855113,",-96.8373073,R
,Apache Analyst IV (Aviation- Data Support Technician),VT Group,0,,"34.674586,",-86.7620139,R
,"Associate Director, Data Science - Custom Analytics",PRA Health Sciences,United States,,"38.952607,",-94.776349,"SQL,R,SAS,Data-Analysis"
,Business Analyst,American Express Global Business Travel,United States,,"33.6205078,",-111.9306168,"SQL,R,Tableau"
,Senior Sage 300 Consultant / Business Analyst - US Based Rem...,Net at Work,United States,,"40.755035,",-73.991803,R
,Data Analyst- Relocation to Saudi Arabia,Saudi Aramco,United States,,"40.76,",-73.973509,"Python,SQL,R,Java,Tableau,Oracle"
,Quality Analyst Sr,"QTC Management, Inc.",United States,,"34.1090729,",-117.8245735,R
,Data Analyst,Alaska Permanent Fund Corporation,"Juneau, AK 99801",,"58.3016707,",-134.4223202,R
,Business Analyst,NuAxis Innovations,0,,"38.9288005,",-77.2452807,R
,Business Analyst,Northern Air Cargo,0,,"27.5365804,",-99.4697534,"R,Microsoft-Office"
,Data Analyst,Northrim Bank,"Anchorage, AK 99503",,"34.5000529,",-82.6495451,"SQL,R,Microsoft-Office"
,Data Analyst IV,Petrotechnical Resources of Alaska,"Anchorage, AK",,"61.1877726,",-149.8840018,"Python,SQL,R,Oracle,Data-Warehouse"
,Clinical Data Analyst,Kodiak Area Native Association,0,,"57.8117749,",-152.3551262,R
,NAS Business Analyst,Aloha Air Cargo,0,,"33.9327362,",-118.3920288,"R,Microsoft-Office"
,IT Data Analyst,"Coeur Mining, Inc.",0,,"41.88059519999999,",-87.6246565,"SQL,R,Tableau,NoSQL,Azure"
,Public Health Data Analyst,Workplace Alaska,"Anchorage, AK",74130,"64.84038699999999,",-147.724514,"R,Tableau,SAS"
,Performance Improvement - Data Analyst,Yukon-Kuskokwim Health Corporation,0,,"60.78317329999999,",-161.7969814,"R,Microsoft-Office"
,IT Project Manager/Business Analyst,CTG (Computer Task Group),"Anchorage, AK",,"44.0661095,",-92.5058156,R
,Business Analyst,CBD College,United States,,"34.062241,",-118.306148,"SQL,R,Java,Tableau"
,Senior Financialforce PSA Consultant / Business Analyst - Re...,Platform 6 Ltd,United States,140000,"52.5070312,",-0.4152382,"R,Java"
,Finance Business Analyst (SAP Implementation),Petrotechnical Resources of Alaska,"Anchorage, AK",,"61.1877726,",-149.8840018,R
,Sr. Business Analyst,Northern Air Cargo,0,,"27.5365804,",-99.4697534,"R,Microsoft-Office"
,NAS Sr. Business Analyst,Aloha Air Cargo,0,,"33.9327362,",-118.3920288,"R,Microsoft-Office"
,Lead EHR Analyst,Norton Sound Health Corporation,0,90584,"64.5000585,",-165.387086,R
,Business Analyst,Resource Data,0,,"29.737308,",-95.57408,"R,Microsoft-Office"
,Sr. Business Analyst,Resource Data,0,,"29.737308,",-95.57408,"R,Microsoft-Office"
,Matanuska Electric Association is seeking a Senior GIS Data...,ALASKA POWER ASSOCIATION,"Anchorage, AK 99503",78087,"61.1810961,",-149.8962572,R
,PROGRAM ANALYST,US Department of the Army,0,65914.5,"34.6645843,",-98.4156381,R
,Principal HRIS Systems Analyst,Providence Health & Services,0,,"47.6516419,",-117.4136728,"SQL,R,Oracle"
,Business Analyst- Remote Opportunities,Guardian Life Insurance Company,United States,,"33.1038533,",-96.823795,"R,Microsoft-Office"
,Business Analyst,SmartRent,"Scottsdale, AZ",,"33.6568467,",-111.8665002,R
,Business Analyst/Project Manager,Xceed Search Partners,"Scottsdale, AZ",102500,"33.7423995,",-111.9798854,"SQL,R"
,Lead Data Analyst,Freedom Financial Network,"Tempe, AZ 85282 (Cyprus Southwest area)",,"37.553403,",-122.300502,"R,Tableau"
,Business Analyst,SOLON Corporation,"Phoenix, AZ",,"33.46451080000001,",-112.0824286,R
,Business Intelligence Analyst – Sales Operations,Isagenix,"Gilbert, AZ",,"33.2843277,",-111.7859664,"SQL,R"
,Sr. Business Analyst,Sunrun,"Scottsdale, AZ 85254 (Paradise Valley area)",,"32.5680311,",-97.0746922,"Python,SQL,R"
,Product Management Business Analyst,"DBSI, Inc.","Tempe, AZ 85283",,"33.293242,",-111.961946,"SQL,R"
,Data Scientist/Analyst,Variyasinc,"Tempe, AZ",,"39.2084033,",-76.7995133,"Machine-Learning,Azure"
,Data Analysis Specialist,Arizona State University,0,51000,"33.4242399,",-111.9280527,"Python,SQL,R,Data-Analysis"
,Data Analyst (Data Quality),TopLine Strategies,"Scottsdale, AZ 85254",102500,"33.5887178,",-111.9255313,"SQL,R,Tableau,Data-Warehouse,Data-Analysis"
,Data Analyst I,GlobalTranz,0,,"33.5434581,",-111.8752881,"Python,SQL,R,Tableau,Data-Warehouse"
,Data Analyst,Accelerate Diagnostics Inc.,0,,"32.1761395,",-110.9276444,"Python,R,MATLAB"
,Data Analyst,JLL,0,,"32.8644482,",-96.8089646,"Python,SQL,R,Tableau"
,Data Analyst,The Paragon Group,0,,"40.0199836,",-82.8657775,"SQL,R,Oracle"
,Data Analytics Analyst/Engineer,Park Computer Systems Inc,"Tempe, AZ",,"37.5214359,",-121.9939188,"R,Tableau"
,Data Analyst,University of Arizona,0,55000,"32.2318851,",-110.9501094,"SQL,R,Oracle,AI"
,"Sr Data Analyst, Investments",Northern Trust Corp.,0,,"41.8815778,",-87.6325827,"SQL,R"
,Operations Data Analyst,MDSL,"Phoenix, AZ 85016 (Camelback East area)",,"33.5155258,",-112.0470434,"SQL,R,SAS"
,Sr. Data Analyst (2 Positions Available),Freedom Financial Network,"Tempe, AZ 85282 (Cyprus Southwest area)",,"37.553403,",-122.300502,"R,Tableau"
,Data Mgmt Consultant 2 - Data Execution Services (DES) Analy...,Wells Fargo Bank,"Tempe, AZ 85282 (Cyprus Southwest area)",,"37.693507,",-97.2626093,R
,SCA Senior Provider Data Analyst,UnitedHealth Group,"Phoenix, AZ 85003",,"44.973048,",-89.636298,R
,Data Analyst/Programmer,Corbins Electric,"Phoenix, AZ 85003",,"33.4028053,",-111.999073,R
,HealthCare Data Analyst,CVS Health,"Phoenix, AZ",,"40.4324635,",-79.7951908,"R,Tableau,SAS"
,Client Reporting Analyst,"All About People, Inc.","Phoenix, AZ 85021 (North Mountain area)",90000,"33.4950422,",-111.9854859,"SQL,R,SAS"
,Sr. Data Analyst (2 Positions Available),Bills.com,0,,"37.4508318,",-122.1147212,"R,Tableau"
,Data Analyst,Make-A-Wish Foundation of America,0,,"37.7037689,",-97.331412,"SQL,R,Data-Warehouse"
,Data Analyst,"Maricopa County, AZ",0,66549.5,"33.2917968,",-112.4291464,R
,"Data Analyst, Operations",Carvana,0,,"39.075531,",-94.605849,"Python,SQL,R,Tableau,Microsoft-SQL-Server"
,Junior Data Analyst,AppZen,"Tempe, AZ",,"37.418032,",-121.979189,"R,Natural-Language-Processing,AI,Microsoft-Office"
,FCC Data Analyst Senior,Western Alliance Bank,0,,"33.6531421,",-117.7335575,
,Data and Reporting Analyst II,Magellan Health,0,,"38.747115,",-90.4657974,"SQL,R,SAS"
,Healthcare Data Analyst,Valleywise Health System,"Tempe, AZ 85282",,"33.4573098,",-112.0261191,"SQL,R,Data-Warehouse"
,Data Analyst,Carpeturn.com,"Phoenix, AZ 85007",,"33.42875,",-112.084199,R
,Intelligence Analyst / Records Examiner - Analyst Supporting...,Forfeiture Support Associates,0,,"39.0600726,",-77.4623516,"R,AI"
,(Remote) Business/Data Analyst,Jobot,"Phoenix, AZ 85034 (Central City area)",75000,"33.4584366,",-112.0694707,"SQL,R"
,Data Analyst,Education at Work,"Tempe, AZ 85281",,"33.4258679,",-111.9430904,"R,Microsoft-Office"
,Junior Business Analyst - Entry Level,Avenica,"Glendale, AZ",36000,"32.91099,",-96.877812,R
,Business Analyst,American Express Global Business Travel,United States,,"33.6205078,",-111.9306168,"SQL,R,Tableau"
,Tableau/SQL Business Intelligence - Sr Consultant,CVS Health,"Scottsdale, AZ",,"40.4324635,",-79.7951908,"SQL,R,Tableau,SAS"
,Healthcare Data Analyst,Valleywise Health,"Tempe, AZ 85282",,"33.4573098,",-112.0261191,"SQL,R,Data-Warehouse"
,SCA Senior Provider Data Analyst,UnitedHealth Group,0,,"44.973048,",-89.636298,R
,Senior Data and Reporting Analyst,Magellan Health,0,,"38.747115,",-90.4657974,"SQL,R,SAS"
,Client Reporting Analyst II (Health Data Analytics),Blue Cross Blue Shield of Arizona,0,,"33.5583276,",-112.1111212,"SQL,R,Tableau,SAS"
,Healthcare Data Analyst,State of Arizona,0,60000,"34.0489281,",-111.0937311,"SQL,R,SAS"
,CLINICAL DATA ANALYST,Arizona Health Care Cost Containment System,0,74000,"33.4467061,",-112.0633794,"SQL,R"
,Data Analyst/Programmer,Corbins Electric,0,,"33.4028053,",-111.999073,R
,Operations Data & Reporting Analyst,MDSL,0,,"33.5155258,",-112.0470434,"SQL,R,SAS"
,Operations Analyst - Reporting,LogistiCare,0,,"33.78948460000001,",-84.3839613,"SQL,Tableau"
,Business / Data Analyst - consultant,Liberty Healthcare Corporation,0,,"40.0084734,",-75.2134886,"SQL,Tableau,SAS"
,Business Analyst,Republic Services,"Scottsdale, AZ 85260 (North Scottsdale area)",,"37.2141258,",-95.5772066,"SQL,R"
,Sr. Healthcare Business Analyst,Kforce,"Tempe, AZ 85280 (Broadmor area)",,"32.957903,",-96.82291,"SQL,R,SAS"
,Technical Data Analyst (Business Systems Consultant 4),Wells Fargo Bank,"Chandler, AZ 85286",,"37.693507,",-97.2626093,"R,AI"
,Medicaid Business Analyst,CVS Health,"Scottsdale, AZ",,"40.4324635,",-79.7951908,R
,Business Analyst,Centurion,"Tempe, AZ",,"37.6174563,",-122.3880624,"SQL,R,Microsoft-Office"
,Analytic Consultant 4 - Analytic Quality Review (AQR),Wells Fargo Bank,"Tempe, AZ 85282 (Cyprus Southwest area)",,"37.693507,",-97.2626093,"SQL,R,SAS"
,Data Management Consultant 3 - Data Execution Services (DES)...,Wells Fargo Bank,"Tempe, AZ 85282 (Cyprus Southwest area)",,"37.693507,",-97.2626093,R
,Business Analyst,Epitec,"Tempe, AZ",101940.8,"42.477853,",-83.289382,"R,Microsoft-Office"
,"CAO Data Strategy, Governance and Business Intelligence, Rep...",JPMorgan Chase,0,,"35.4934845,",-97.5521504,"Python,SQL,R,Tableau,Big-Data"
,Clinical Data Analyst,Gila River Health Care Corporation,0,,"33.0730306,",-111.7590818,R
,Tableau/BI Analyst,Park Computer Systems Inc,"Tempe, AZ",,"37.5214359,",-121.9939188,"SQL,R,Tableau"
,Data/Business Analyst,Kitchell Corporation,0,,"33.5047287,",-112.04478,"SQL,R,Microsoft-Office"
,Business Data Analyst,Cognizant Technology Solutions,0,,"36.3370104,",-94.2215798,R
,"Data Analyst I - Phoenix, AZ",Freeport-McMoRan Copper & Gold,0,,"32.6989433,",-108.1290797,"Python,SQL,R,Hive,Big-Data"
,"Business Analyst - North Phoenix, AZ",Albertsons Companies,0,,"33.7521169,",-96.5377483,R
,Market Data Management Analyst,MDSL,0,,"33.5155258,",-112.0470434,"SQL,R"
,Business Data Analyst,National Education Partners,"Scottsdale, AZ",,"38.900535,",-77.03057,"SQL,R,Microsoft-SQL-Server,Microsoft-Office"
,"Data Scientist/Analyst ~ Tempe, AZ",Variyas Global Solutions Inc.,"Tempe, AZ",,"39.2084033,",-76.7995133,"Machine-Learning,R,Azure"
,QA Analyst/Tester,Central Point Partners,"Phoenix, AZ",,"40.139878,",-82.925123,R
,GTR Business Analyst,American Express Global Business Travel,"Phoenix, AZ",,"33.6205078,",-111.9306168,"SQL,R,Big-Data"
,Business Analyst,SmartRent,"Scottsdale, AZ",,"33.6568467,",-111.8665002,R
,Data Quality & Integration Analyst,Equality Health,0,,"33.442299,",-112.069732,"Python,SQL,R,Tableau,SAS,Microsoft-SQL-Server"
,Quality Assurance Analyst (Manaul Testing/ Software Validati...,Blue Cross Blue Shield of Arizona,0,,"33.5583276,",-112.1111212,"SQL,R"
,"Data Quality Analyst, Vice President",MUFG,0,,"29.7576377,",-95.3689383,"SQL,R"
,"Sr Data Analyst, Investments",Northern Trust,0,,"32.7916813,",-96.8062818,"SQL,R"
,"Data Quality Analyst, AVP",MUFG,0,,"29.7576377,",-95.3689383,"SQL,R,SAS"
,"Data Management Business Analyst, Vice President",MUFG,0,,"29.7576377,",-95.3689383,"R,Microsoft-Office"
,"Data Quality (DQ) Problem Management Analyst, Assistant Vice...",MUFG,0,,"29.7576377,",-95.3689383,"SQL,R,Oracle,Microsoft-Office"
,Business Analyst - 80-100K,Quantum,0,,"37.724043,",-97.415992,R
,Senior Quality Management Data Analyst,Steward Health Care Network,0,,"42.30065889999999,",-71.2180995,"SQL,R,Tableau,SAS,Microsoft-Office"
,"DATA APPLICATIONS ANALYST I, INFORMATION TECHNOLOGY SERVICES",State of Arizona,0,51500,"34.0489281,",-111.0937311,"Python,SQL,R"
,Manager Business Intelligence & Database Services,Valleywise Health System,"Phoenix, AZ 85008 (Camelback East area)",,"33.4573098,",-112.0261191,R
