job_title,rating,average,company,reviews,location,datepost,lat,lon,skills
Senior Business Analyst (Fedwire Securities Services),4.1,82500,Federal Reserve Bank of New York,528,"New York, NY 10045",30,40.7127281,-74.0060152,R
Tableau Specialist - Health Care Data Visualization,4.1,0,COPE Health Solutions,48,"New York, NY",30,40.7127281,-74.0060152,"SQL,R"
Data Analyst- Ad and Brand,3.7,0,Phoenix Marketing International,11,"New York, NY 10018",30,40.7602435,-74.0028752,"Python,R"
"Healix- Analyst, Business Intelligence & Accountability",3.7,0,IPG Mediabrands,70,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,SAS,MATLAB"
"Business Analyst, Custom Insights",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,
"Business Intelligence Analyst, International",4.5,0,Squarespace,26,"New York, NY 10014",30,40.7127281,-74.0060152,"SQL,R"
"Data Analyst - Customer Analytics (LTV, Usage, Cohorts)",,0,,,,30,0,0,"Python,SQL,R,Spark"
Clinical Business Analyst- Level III- EITS,3.8,97200,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Microsoft-Office"
Data Analyst,3.2,87500,Fidelis Care,394,"Queens, NY",30,40.6524927,-73.79142142,
Data Analyst,,0,,,,30,0,0,"SQL,R,Tableau"
Data Analyst - STI,3.6,0,Public Health Solutions,76,"Long Island City, NY",30,40.7415237,-73.9571276,
Senior Healthcare Encounter Data Analyst,3.6,0,VISITING NURSE SERVICE OF NEW YORK,264,"Manhattan, NY",30,40.7896239,-73.9598939,"Python,SQL,R,Tableau"
"Business Analyst, Fixed Income System Implementations",,0,,,,30,0,0,
Product Owner (Business Analyst with Healthcare IT Experienc...,,115000,,,,30,0,0,
"Data Analyst, CHOICE",3.6,0,VISITING NURSE SERVICE OF NEW YORK,264,"Manhattan, NY",30,40.7896239,-73.9598939,
SENIOR CLINICAL BUSINESS ANALYST (Level-B)- EITS,3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,
Business Analyst,,0,,,,30,0,0,
"Junior Analyst, Data",4,0,HarperCollins Publishers Inc.,151,"New York, NY 10022",30,40.7607161,-73.9669623,
Analyst Data Research,4,0,Northwell Health,1,"New York, NY 10022",30,40.7607161,-73.9669623,"Python,SQL,R,Tableau,Hive"
Business Intelligence Analyst,5,80000,SecurityScorecard,2,"New York, NY",30,40.7127281,-74.0060152,
Data Analyst,,0,,,,30,0,0,
Business Analyst / Forms Librarian,,0,,,,30,0,0,
Epic HIM Analyst,4.1,80000,NYU Langone Health,1,"New York, NY 10016",30,40.7493074,-73.9794185,
"Institutional Markets, Business Analyst",3.2,0,Global Atlantic Financial Group,23,"New York, NY",30,40.7127281,-74.0060152,
Business Intelligence Analyst,5,127920,SecurityScorecard,2,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,Java,Tableau,SAS"
Loss Prevention Business Analyst (LP Experience Required),3,0,Bowlero Corp,236,"New York, NY 10036",30,40.7644002,-73.998863,"Python,SQL,R,Tableau,Microsoft-Office"
Business Analyst,3,0,EquiLend,12,"New York, NY 10004",30,40.7127281,-74.0060152,"SQL,R,Tableau"
FGP Data Analyst,4.1,0,NYU Langone Health,1,"New York, NY 10016",30,40.7493074,-73.9794185,
Data Analyst,,0,,,,30,0,0,"Python,SQL,Tableau,Scala"
DATA ANALYST,4.1,0,Montefiore Medical Center,1,"Bronx, NY 10467",30,40.85048545,-73.84040356,R
Senior Data Analyst,,0,,,,30,0,0,"SQL,R"
Clinical Business Analyst- Level III- EITS,3.8,120000,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,Tableau"
SENIOR CLINICAL BUSINESS ANALYST (Level-B)- EITS,3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau"
Data Analyst,,75000,,,,30,0,0,
Data Analyst,,0,,,,30,0,0,"SQL,R,Tableau,SAS"
"Analyst, Data Platforms",4,0,The New York Times,239,"New York, NY 10036",30,40.7644002,-73.998863,
Business Intelligence Analyst,,0,,,,30,0,0,"Python,SQL,R,Tableau,SAS"
Data Analyst,3.9,0,Revel,35,"Brooklyn, NY",30,40.6501038,-73.9495823,"SQL,R"
New Junior Data / Business Intelligence Analyst,3,0,FDM Group,95,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R"
Investigative Analyst,4.4,78803,New York District Attorney's Office,63,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R"
Technical Business Analyst- School of Med,4.1,0,NYU Langone Health,1,"New York, NY 10016",30,40.7493074,-73.9794185,
"Internship in Quantitative Research (Data Science, Machine L...",,0,,,,30,0,0,
Associate Digital Analyst,,0,,,,30,0,0,
Senior Consultant - Data & Analytics - Insurance Suite,4,0,EY,6,"New York, NY",30,40.7127281,-74.0060152,
Data Modeling Analyst,4.3,80000,New York University,991,"New York, NY",30,40.7127281,-74.0060152,
Business Data Analyst,3.4,0,Fareportal Inc.,152,"New York, NY 10020",30,40.75895946,-73.97957188,
Data Analytics – Associate,,0,,,,30,0,0,
Data Quality Analyst,3.9,0,,,,30,0,0,"Python,SQL,R"
"Data Science & Analytics, Associate",,0,,,,30,0,0,"SQL,R"
Data Analyst,5,0,Blink Health,4,"New York, NY 10261",30,40.74123595,-73.35669117,"SQL,R,Tableau"
Senior Data Analyst,,0,,,,30,0,0,"Python,SQL,R,SAS,AI,Microsoft-Office"
Data Feeds Analyst,,120000,,,,30,0,0,R
Market Research Analyst,,0,,,,30,0,0,"SQL,R,SAS,Microsoft-Office"
"Asset Management, Marketing, Business Intelligence Channel S...",3.9,0,JP Morgan Chase,21,"New York, NY 10172",30,40.7555755,-73.97503,
"Data Analyst, Global Business Marketing",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,
Data Analyst,4.7,78000,Thirstie,3,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau,SAS"
Data Analyst Entry Level,,0,,,,30,0,0,"SQL,R"
Business Analyst,3.5,0,Persado,6,"New York, NY 10010",30,40.7392225,-73.97336,"R,Microsoft-Office"
SENIOR CLINICAL BUSINESS ANALYST (Level-B)- EITS,3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,
"Data Analyst, Behavioral Health (Clinical Business Analyst I...",3.8,0,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,
Business Analyst,,0,,,,30,0,0,
Clinical Business Analyst Lv 2,3.8,0,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,"SQL,R"
Business Analyst,,0,,,,30,0,0,"Python,SQL,R,Tableau"
"MHSC Data Analyst (Clinical Business Analyst Lv 2), Primary...",3.8,80367.5,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Tableau"
Senior Business Analyst,3.6,0,VISITING NURSE SERVICE OF NEW YORK,264,"Manhattan, NY",30,40.7896239,-73.9598939,"Python,SQL,R,Tableau"
Project Manager/ Technical Business Analyst,,0,,,,30,0,0,R
Clinical Business Analyst- Level III- EITS,3.8,82500,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,Tableau"
Sr. Clinical Business Analyst- EITS,3.8,75000,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,
Sr. Business Analyst,4.3,0,Sagitec,3,"New York, NY",30,40.7127281,-74.0060152,
Business Analyst,4.2,0,IntePros Consulting,6,"New York, NY",30,40.7127281,-74.0060152,
"Uber Eats Regional Operations Manager, Business Intelligence",3.5,0,Uber,1,"New York, NY 10001",30,40.72982535,-73.96075198,
Sr. Business Intelligence Analyst,,0,,,,30,0,0,"Python,R"
Senior Data Analyst - New York City,3.8,65000,Compass,976,"New York, NY 10010",30,40.7392225,-73.97336,R
"Initiative- Senior Analyst, Business Intelligence & Accounta...",3.7,0,IPG Mediabrands,70,"New York, NY",30,40.7127281,-74.0060152,
Business Analyst - Transportation,3.5,0,Gannett Fleming,71,"New York, NY 10261",30,40.74123595,-73.35669117,R
Business Operations Analyst,4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,
Business Analyst,4.2,55000,Dataminr,5,"New York, NY",30,40.7127281,-74.0060152,
"Initiative - Senior Analyst, Business Intelligence and Accou...",3.7,0,IPG Mediabrands,70,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Java,Tableau"
Business Analyst - Transportation,3.5,0,Gannett Fleming,71,"New York, NY 10121",30,40.75033067,-73.99189825,R
Manager/Sr.Manager Data & Analytics,4.5,0,,,,30,0,0,"SQL,R"
"Senior Associate, Data & Technology, Cybersecurity (Data Ana...",3.4,0,Ankura,5,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,Tableau"
Alternative Data Analyst,3.7,0,The Execu|Search Group,135,"New York, NY 10017",30,40.7524472,-73.9646461,"R,Tableau"
Senior Medical Economics Analyst,3.5,0,Healthfirst,514,"New York, NY 10007",30,40.7127281,-74.0060152,"SQL,R,Tableau"
"Data Visualization Analyst, People Analytics",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,
Business Intelligence Analyst,,0,,,,30,0,0,R
"Analyst, Data Sciences",3.5,0,Wavemaker,18,"New York, NY",30,40.7127281,-74.0060152,
Data Analyst,,0,,,,30,0,0,"SQL,R,Hadoop,Java,Tableau,SAS,Microsoft-Office"
"DATA ANALYST, BUSINESS OPERATIONS",3.9,0,New York City DEPARTMENT OF BUSINESS SERV.,23,"Manhattan, NY",30,40.7896239,-73.9598939,"Python,SQL,R,Scala"
Business Intelligence Analyst,,0,,,,30,0,0,"Python,SQL,AI"
FGP Data Analyst,4.1,0,NYU Langone,1,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Linux"
FGP Data Analyst,4.1,0,NYU Langone Health,1,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,AI"
Business Analyst,3.5,0,Persado,6,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,Hadoop,Tableau,Hive,SAS,Big-Data,Linux"
"Senior Data Analyst, People Analytics",3.3,0,WeWork,149,"New York, NY 10013",30,40.7127281,-74.0060152,
Data Analyst,,0,,,,30,0,0,
Venture Capital Analyst - Data Scientist,3.5,0,Simon Property Group,234,"New York, NY 10017",30,40.7524472,-73.9646461,"Python,SQL,Machine-Learning,R,Spark,SAS,Scala,MATLAB"
Sr. Business Intelligence Engineer / Data Analyst,3.6,0,"Amazon.com Services, Inc.",39,"New York, NY",30,40.7127281,-74.0060152,
Data Analyst,3.9,0,WW International (formerly Weight Watchers),409,"New York, NY",30,40.7127281,-74.0060152,
Business / Data Analyst,,0,,,,30,0,0,"Python,SQL,R"
Strategy & Business Intelligence - Senior Associate/Associat...,3.8,0,Fitch Ratings,99,"New York, NY 10261",30,40.74123595,-73.35669117,
Sr. Business Operations Analyst – Programmatic,3.9,0,Dailymotion,12,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,Tableau"
Sr Data Analyst- Population Health,4.1,0,NYU Langone Health,1,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,SAS"
"Director, Business Intelligence",3.5,0,Michael Page,252,"New York, NY 10174",30,40.75134705,-73.975136,"Python,SQL,R,Tableau"
Operations data analyst,,0,,,,30,0,0,"Python,SQL,R,AWS"
Operations Strategic Data Analyst,3.5,0,Healthfirst,514,"New York, NY 10004",30,40.7127281,-74.0060152,Data-Analysis
Analytics Consulting Associate (Immediate Start),4.1,0,Charles River Associates,15,"New York, NY 10018",30,40.7602435,-74.0028752,"Python,SQL,R"
DATA ANALYST PATIENT EXPERIENCE,4.1,0,Montefiore Medical,1,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,Tableau,Microsoft-Office"
Healthcare Data Analyst,3.7,0,Milliman,103,"New York, NY 10119",30,40.74123595,-73.35669117,
Data Analyst,3.4,67151,Mediamorph,10,"New York, NY 10016",30,40.7493074,-73.9794185,"Python,SQL,R"
Data Operations Analyst,,0,,,,30,0,0,"Python,SQL,R,Java,Tableau,Oracle"
"Clinical Business Analyst Level I, ACO Performance Analytics",3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,"R,Tableau"
HEALTH CENTER DATA ANALYST,,0,,,,30,0,0,"Python,R"
Clinical Supply Business Intelligence Manager,4.2,0,,,,30,0,0,
Technical Research Analyst,4,0,MDRC,7,"New York, NY 10261",30,40.74123595,-73.35669117,"SQL,R,SAS"
Entry Level Business Analyst,4.5,0,KGS Technology Group,36,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Hadoop,Tableau,SAS,AWS"
"Data Analyst, Special Investigations Unit",,0,,,,30,0,0,
Data Analyst,4,0,SellUP,2,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Tableau,SAS,Scripting"
Data Administrator/Analyst,3.9,52500,A+E Networks,127,"New York, NY",30,40.7127281,-74.0060152,"Python,R,Tableau"
Data Analyst,5,0,Blink Health,4,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R"
"Research Analyst, Research Transparency, Data Ethics & Gov",,0,,,,30,0,0,"Python,SQL,R"
Senior IT Business Analyst - Finance (relocate to Dubai),,0,,,,30,0,0,"Python,SQL,R,Tableau,Microsoft-SQL-Server,Microsoft-Office"
Exchange Analyst,,0,,,,30,0,0,"Python,SQL,R,Java,Tableau,Oracle"
Market Research Analyst,,0,,,,30,0,0,"Python,SQL,R,Oracle"
"Senior Analyst, Customer Analytics & Data Science",3.8,0,Tiffany & Co.,671,"New York, NY 10261",30,40.74123595,-73.35669117,"Python,SQL,R,SAS"
Product Data Analyst,,0,,,,30,0,0,"Python,SQL,R,Tableau,Microsoft-Office"
Senior Business Intelligence & Data Science Analyst,4.5,0,CheckedUp,2,"New York, NY",30,40.7127281,-74.0060152,
Business Intelligence Analyst,3.4,0,Fareportal Inc.,152,"New York, NY 10020",30,40.75895946,-73.97957188,"Python,SQL,R"
Entry Level Data Analyst,4.5,0,KGS Technology Group,36,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Spark,Big-Data,AWS"
Sales and Marketing Analyst,4.2,55000,"Take-Two Interactive Software, Inc.",6,"New York, NY 10012",30,40.7127281,-74.0060152,
Data Analyst,3.3,0,IgnitionOne,24,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R"
"Sr. Analyst, Digital Marketing Analytics",4.1,75000,Showtime Networks,66,"New York, NY 10261",30,40.74123595,-73.35669117,"SQL,R,Oracle"
EpicCare Analyst,4.1,0,NYU Langone Health,1,"New York, NY 10261",30,40.74123595,-73.35669117,"SQL,R,Tableau"
"Asset Management, Marketing, Business Intelligence Channel S...",3.9,0,JP Morgan Chase,21,"New York, NY 10172",30,40.7555755,-73.97503,"Python,SQL,R,Microsoft-Office"
Junior/Entry Level Business Analyst (Fintech Software),,0,,,,30,0,0,
"Analyst,Data Management Quantitative Analysis",3.5,0,BNY Mellon,4,"New York, NY",30,40.7127281,-74.0060152,
Business Intelligence Analyst,,0,,,,30,0,0,"Python,SQL,Microsoft-Office"
Associate Data Reporting Analyst,3.6,0,WebMD,189,"New York, NY 10011",30,40.7127281,-74.0060152,"Python,SQL,R,Java,Tableau,Oracle"
Junior Consultant – Data Analyst in Financial Services,3.8,0,Sia Partners,10,"New York, NY 10006",30,40.7127281,-74.0060152,"SQL,R"
Omnichannel Business Analyst (relocate to Dubai),,0,,,,30,0,0,
Sales Marketing Operations Analyst,3,0,VROOM,27,"New York, NY",30,40.7127281,-74.0060152,
"Sr. Analyst, Ad Sales Strategy",4,0,NBCUniversal,2,"New York, NY",30,40.7127281,-74.0060152,
Sales Operations Analyst,,0,,,,30,0,0,R
"Data Analyst - News Partnerships, Media Partnerships",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,"SQL,R,Tableau,AI"
CRM Data Analyst,,0,,,,30,0,0,
"Data Analyst Lead, Global Business Marketing",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,"R,Microsoft-Office"
BI Analyst,4.7,0,BeenVerified,6,"New York, NY 10016",30,40.7493074,-73.9794185,"Python,SQL,R"
Growth Marketing Analyst,4,0,Barrel,10,"New York, NY 10075",30,40.77360853,-73.9565075,"R,Microsoft-Office"
"Senior Analyst, Strategy, Performance & Innovation",3.6,0,VISITING NURSE SERVICE OF NEW YORK,264,"Manhattan, NY",30,40.7896239,-73.9598939,R
Senior Financial Data Analyst,3.7,0,The Execu|Search Group,135,"Brooklyn, NY",30,40.6501038,-73.9495823,
"Manager, Business Intelligence, Peacock, Direct-to-Consumer",4,0,NBCUniversal,2,"New York, NY",30,40.7127281,-74.0060152,"R,Tableau"
Senior Business Intelligence Analyst,3.5,0,Zocdoc,50,"New York, NY 10012",30,40.7127281,-74.0060152,
"Analyst, Sales Strategy and Insights",4.2,0,Dataminr,5,"New York, NY",30,40.7127281,-74.0060152,
Business Intelligence Analyst,2.8,0,New York City TAXI & LIMOUSINE COMMISSION,21,"New York, NY 10004",30,40.7127281,-74.0060152,R
Business Analyst - Facilities Applications,4.1,59280,NYU Langone Health,1,"New York, NY 10016",30,40.7493074,-73.9794185,R
"Business Analyst, Data Operations",,55000,,,,30,0,0,"SQL,R"
"Business Analyst, M&A",3.9,0,Shearman & Sterling LLP,36,"New York, NY 10022",30,40.7607161,-73.9669623,"R,SAS"
Product Strategy and Operations Analyst - Yahoo Finance,3.8,0,Oath Inc,41,"New York, NY 10024",30,40.78627241,-73.97560269,R
Senior Marketing Data Analyst,,0,,,,30,0,0,
"Senior Analyst, Data and Analysis",3.8,0,Digitas,177,"New York, NY 10014",30,40.7127281,-74.0060152,
Business Operations Analyst,4.1,0,The Port Authority of New York and New Jersey,216,"New York, NY 10007",30,40.7127281,-74.0060152,
Business Analyst/QA,,0,,,,30,0,0,
Senior Financial Analyst/Data Analyst - Decision Support,4.2,75000,NewYork-Presbyterian Hospital,1,"Manhattan, NY",30,40.7896239,-73.9598939,"SQL,R"
"Senior Data Operations Analyst, Data Analytics",4.3,0,Sony Music Entertainment,362,"New York, NY 10010",30,40.7392225,-73.97336,R
Financial Controls Data Analyst,3.7,0,The Execu|Search Group,135,"Brooklyn, NY",30,40.6501038,-73.9495823,"Python,SQL,R,Tableau"
Clinical Business Analyst- Level III- EITS,3.8,0,NYC Health + Hospitals,787,"New York, NY",30,40.7127281,-74.0060152,R
SENIOR CLINICAL BUSINESS ANALYST (Level-B)- EITS,3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,
eCommerce/ERP Business Analyst & Project Manager - NYC,4.4,0,Pixafy,5,"New York, NY",30,40.7127281,-74.0060152,R
"Data Analyst I, Department of Psychiatry",3.9,0,Mount Sinai,1,"New York, NY",30,40.7127281,-74.0060152,
Business and Data Analyst Manager,3.5,94835,New York City ADMIN FOR CHILDREN'S SVCS,391,"New York, NY 10038",30,40.7127281,-74.0060152,
Investigative Analyst Supporting the USPIS,3.7,79419.5,Forfeiture Support Associates,112,"New York, NY 10007",30,40.7127281,-74.0060152,
Contract Analyst,4,0,New York City OFFICE OF THE COMPTROLLER,5,"Manhattan, NY",30,40.7896239,-73.9598939,"SQL,R,Tableau"
"Clinical Business Analyst Level I, EMR Program Management",3.8,55000,NYC Health + Hospitals,787,"New York, NY 11201",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau"
"Clinical Business Analyst Level I, EMR/Clinical Information...",3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,"SQL,R,Tableau"
Project Manager / Business Analyst,3.8,0,Bank of America,28,"New York, NY 10038",30,40.7127281,-74.0060152,"Python,SQL,Tableau"
Business Analyst / Project Manager,3.8,0,Bank of America,28,"New York, NY 10038",30,40.7127281,-74.0060152,"R,Microsoft-Office"
Distribution Business Analyst (Entry Level Analyst Program),3.4,0,Voya Financial,308,"New York, NY 10169",30,40.754603,-73.9756765,
CIS Applications Analyst (Clinical Business Analyst Level 2)...,3.8,0,NYC Health + Hospitals,787,"New York, NY 10004",30,40.7127281,-74.0060152,
Business Analyst,4,0,Amobee,12,"New York, NY 10010",30,40.7392225,-73.97336,"SQL,R,AI"
"Asset Management, Marketing, Business Intelligence Channel S...",3.9,0,JP Morgan Chase,21,"New York, NY 10172",30,40.7555755,-73.97503,R
Associate Financial Business Analyst- McCann Health,4,0,Worldgroup Careers MWT,100,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,SAS"
PROJECT MGR/BUSINESS ANALYST,3.9,0,The Brookdale University Hospital and Medical Center,203,"Brooklyn, NY",30,40.6501038,-73.9495823,
Business analyst,3.1,0,Tanisha Systems Inc,9,"New York, NY 10118",30,40.74842826,-73.98550419,
Junior Client Services Business Analyst,3.9,0,ION,27,"New York, NY 10013",30,40.7127281,-74.0060152,"Python,SQL,Tableau"
Business Analyst,3.9,0,The New School,117,"New York, NY",30,40.7127281,-74.0060152,"R,Microsoft-Office"
Business Analyst - New York,,0,,,,30,0,0,"R,Tableau"
Business Analyst,,0,,,,30,0,0,"R,Microsoft-Office"
PROJECT MGR/BUSINESS ANALYST,3.9,59280,Brookdale University Hospital Medical Center,203,"Brooklyn, NY",30,40.6501038,-73.9495823,"R,Tableau"
Market Data Business Analyst,3.5,0,CAPCO,138,"New York, NY 10271",30,40.7127281,-74.0060152,
Business/Data Analyst (FP&A),3.6,0,"Two Sigma Investments, LLC.",11,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau,Oracle"
Business Analyst,4.4,0,Avani Technology Solutions Inc,5,"New York, NY",30,40.7127281,-74.0060152,"Python,R,Data-Analysis"
SENIOR BUSINESS ANALYST,,0,,,,30,0,0,"SQL,R,Tableau,SAS"
Junior Business and Data Analyst,3.2,0,Utilisave,9,"New York, NY 10001",30,40.72982535,-73.96075198,
Salesforce Business Analyst/Admin,,0,,,,30,0,0,"Python,SQL,R,AWS"
Business Analyst,,0,,,,30,0,0,"Python,SQL,R,Java,Tableau,Oracle"
Salesforce Admin/Business Analyst,,0,,,,30,0,0,
Asset Management - Global Equities - Data Science - Analyst/...,3.9,0,J.P. Morgan,21,"New York, NY 10172",30,40.7555755,-73.97503,"SQL,R,Tableau,Azure"
Financial Data Analyst - Full Time,3.8,0,Moody's Shared Services,335,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Tableau"
Associate Financial Business Analyst- McCann Health,4.3,0,McCann Health,9,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau"
Financial Controls Data Analyst,3.7,0,Elderplan,234,"Brooklyn, NY 11220",30,40.6501038,-73.9495823,
Data Analyst,,0,,,,30,0,0,"SQL,R,Tableau"
Risk Data Analyst,3.1,0,MoneyLion,15,"New York, NY",30,40.7127281,-74.0060152,
Data Feeds Analyst,,0,,,,30,0,0,"SQL,R,Tableau"
DATA AND OPERATIONS ANALYST,3.9,0,New York City DEPARTMENT OF BUSINESS SERV.,23,"Manhattan, NY",30,40.7896239,-73.9598939,"R,Tableau"
Senior Data Analyst,4,0,Yext,14,"New York, NY 10011",30,40.7127281,-74.0060152,"R,Tableau"
Senior Data Analyst,3.8,0,Capgemini,6,"New York, NY 10036",30,40.7644002,-73.998863,"SQL,R,SAS,AI"
Data Analyst,3.6,0,Public Health Solutions,76,"Long Island City, NY",30,40.7415237,-73.9571276,"Python,SQL,AI"
Data Analyst,,0,,,,30,0,0,"SQL,R,Tableau,SAS,Microsoft-Office"
Data Analyst - Personal Shopping,,0,YOOX NET-A-PORTER GROUP,130,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau,AI"
"Data Analyst I, Division of General Internal Medicine",,0,Mount Sinai,1,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Tableau"
Data Analyst,,0,,,,30,0,0,"Python,SQL,R,Tableau"
Data Analyst - General Medicine,,0,Columbia University,962,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R"
Data Analyst / Data Scientist,,0,,,,30,0,0,"R,Tableau,Microsoft-Office"
"Analyst, Data Products",,0,The New York Times,239,"New York, NY 10036",30,40.7644002,-73.998863,R
Data Analyst I - Geriatrics and Palliative Care,,0,Mount Sinai,1,"New York, NY",30,40.7127281,-74.0060152,"SQL,R,Oracle"
DATA ANALYST,,0,ABM Industries,7,"New York, NY 10176",30,40.74123595,-73.35669117,"SQL,R,Tableau,AWS"
"Data Analyst, Development Unit",,0,NEW YORK LEGAL ASSISTANCE GROUP,2,"New York, NY 10004",30,40.7127281,-74.0060152,R
Data and Attribution Analyst - Media,,0,Spectrum,13,"New York, NY 10174",30,40.75134705,-73.975136,"SQL,R"
Data Analyst,,0,,,,30,0,0,"Python,SQL,R,Tableau"
Program Data Analyst,,0,New York City TAXI & LIMOUSINE COMMISSION,21,"New York, NY 10004",30,40.7127281,-74.0060152,R
Data Analyst,,0,CAPCO,138,"New York, NY 10271",30,40.7127281,-74.0060152,R
Data Collection Analyst,,0,Columbia University,962,"New York, NY",30,40.7127281,-74.0060152,
Data Analyst,,0,,,,30,0,0,R
ODTA Data Analyst,,0,,,,30,0,0,"SQL,R,Tableau,AI"
Claims Data Analyst,,0,CenterLight Health System,170,"Bronx, NY",30,40.85048545,-73.84040356,"SQL,R,SAS"
"Data Analyst, Bureau of HIV",,0,New York City DEPT OF HEALTH/MENTAL HYGIENE,305,"Queens, NY 11101",30,40.6524927,-73.79142142,R
